Item Name,Quantity
ABZORB POWDER 100GM,1
ADVASTAT-10 TAB 10 S,3
ALCROS 100 TAB,1
ALDAY TAB 10 S,5
ALL 9-D CAP 10 SBB,1
ALTONIL PLUS 5 TAB,1
AMLOVAS 2.5MG TAB 15 S,1
AMLOVAS-H TAB 15 SA,1
ARKAMIN TAB 30 S,1
ATARAX 25MG TAB 15 S,4
ATORVA-10MG TAB,2
B-LONG -F TAB 30 SBOX,1
BETADINE GARGLE 100ML,1
BETNOVATE C OINT 30GM,19
BEVON SYP 200ML,3
BEVON CAP 15 S,3
BROZEET-LS SYP 100ml,1
CANDID MOUTH PAINT 25 ML,1
CEFAKIND-500mg TAB 10 SA,1
CILACAR T 80 TAB 10 S,1
CILACAR TC 6.25 10 S,3
CLAVAM 625MG TAB 10 S,5
CLAVIX GOLD 20 TAB,1
CLOPILET A 75 TAB***,1
CODESOFT CAP 10 SBG,1
CODESOFT- EPO CAP 15 S,1
DEFZA 6 TAB 10 SF,1
DOMPAN-FORTE TAB 10 SF,5
DORSUN DROP 5ML,1
DOXOVENT 400MG TAB 10 S,2
DROTIN INJ 2ML 1 S,5
DROTIN TAB,2
ECONORM SACHETS 1 S,15
ECOSPRIN-AV 75 CAP 15 S,10
EMESTAT OD TAB,6
ENCARMIN SYP 200ML,1
ENVAS-10 TAB,1
ETIZOLA-PLUS 10 TAB 10 SA,1
EUREPA V 1/0.3TAB,1
FEBUGET 40 TAB,1
FEBUGET-80 TAB 10 SBY,1
FERISOME TAB,1
FERTISURE-M TAB 10 SBM,1
FOSRIUM SACH. 8GM,1
FOURTS- B DROP 15ML,1
GABANTIN FORTE TAB 10SF,2
GEMINOR M2 FORTE TAB,1
GEPRIDE M-2 TAB 10 S,1
GLYCIPHAGE SR 500 10 S,10
GLYCOMET TRIO FORTE 2 TAB,1
HEXIDINE M/WASH 160ML,1
HYCIBEX TAB 10 SBOX,1
HYDENT K ORAL GEL 100GM,2
HYDENT PRO TOOT 70GM,1
JARDIANCE 25M TAB 10 S,1
LAVETA-M TAB 10 SA,1
LIZOLID-600MG TAB 10 SF,2
LOFTAIR INHALER 110/50M 1 S,1
LONAZEP 0.5 TAB 15S,2
LUCRUSH-1% CREAM 10GM,1
MAXTRA GARGLE 120ML,1
MEGANEURON OD PLUS 10 S,3
MET XL 50MG TAB,1
METOSARTAN CH 50 TAB,1
MONOCEF O CV 200 TAB,1
MONTEK AB TAB 10 SF,2
NATRILIX-SR TAB 10 SA,1
NEOSPORIN H EAR DROP 5ML,1
NEUNERV TAB,1
NEXPRO RD 40 CAP 10 SF,3
NIFTAS-100 TAB 10 SA,1
NIKORAN-5MG TAB 20 S,2
NUHENZ TAB,3
NUPENTA DSR CAP,2
NUROKIND GOLD CAP 10 SBB,3
ODOXIL 250MG DT 10 S,1
OLMARK 40 TAB,1
OLMETIME-40 TAB,1
OMEZ- DSR CAP 15 S,5
ONABET SD 15ML,1
OXRAMET XR 10/1000 TAB,4
PANIDO-20 TAB 10 S,1
PANTOCID - IT CAP 10 SF,3
PANTOP-DSR CAP 10 SF,1
PAUSE INJ 5ML,3
POLYPOD CV 200 DT,1
PREGALEO- NT TAB,2
PREGALIN M 75 CAP 15 SA,1
PYZINA 500MG TAB 10 S,2
RABONIK- DSR CAP 15 S,1
REPACE-50 TAB 10 S,4
REPACE-AF TAB 10 SF,3
ROSUFIT 5 TAB 15 S,4
ROSUMAC-10 TAB,1
SELOKEN XL 25 TAB 30 SBW,1
SOHA EYE DROPS 10ML,1
STAMLO 10MG TAB 30 S,1
STAMLO 2.5MG TAB 30 S,10
STEMETIL MD TAB,6
SUMO L 100 DROP 15ML,6
SYNDOPA PLUS TAB,10
SYNTRAN 100 CAP 10 S,1
T-BACT OINT 15GM,1
T-BACT OINTMENT 5GM,3
TAMDURA CAP 10 SF,3
TELISTA 20 TAB 15 SF,2
TELMA AM TAB,1
TELMIKIND-H TAB 10 S,3
TENGINOW M 1000 TAB 10 S,3
TENGLYN M 500MG,1
TENIVA-M FORTE TAB,1
TETAN AM TAB 15 S,1
THYRONORM 25MG 100 S,1
THYROX 50MG 100 S,1
TIDE 20 TABS 10 S,1
TIDE-5 TAB 10 SBOX,3
TONENGLO 50,1
UDILIV 300 TAB,1
UGESIC-20 TAB 10 S,1
URIKIND-K SYP 100ML,1
URSOKEM 300 TAB 10 S BOX,1
VELOZ 20 TAB 15 s,3
VITANOVA-D3 DROPS 15ML,5
VIVAX 10MG TAB 10 S,1
VOLINI SPRY 100GM,1
WAXONIL EAR DROP 10ML,2
YEES-D CAPS 10 S,1
ZEET EXPT. 100ML,1
ZINCOFER TAB 10 SBR,3
ZOFER INJ. 2ML,5
ZOFER MD 4mg TAB 10 S,5
ZUKANORM M 500 TAB,2
