Item Name,Quantity
ADVASTAT-10 TAB 10 S,3
ALOJA M TAB 1PH,1
ALTONIL PLUS 5 TAB,1
ANGIZEM CD 90mg CAP 10 SB,2
ARISTOZYME GOLD TAB,2
AZINIX-500 TAB,3
BIFILAC  CAP      10 SF,2
BIOZORA 0.85GM,5
CCM 30 TAB           30 S,1
CHERICOF-LS SYP  100ML,1
CHYMORAL-AP TAB   10 SN,2
CIBOZ -200 TAB,1
CILAPAM FN TAB,1
CITAPURE FORTE TAB  10 SBN,1
CLOPILET   TAB      15 SF,2
CORTEL LN TAB,1
CORTEL TRIO TAB 15 S,1
D3 KIND CAP,1
DANCLEAR SHAMPOO    90ML,1
DAPABITE 10 TAB,1
DAPANOVA-10 TAB,2
DEPLATT-75mg TAB 15 S BOX,1
DEWSOFT CREAM        50GM,1
DEXONA SOLUTAB       10 S,5
DIAMICRON XR 60 TAB 14 S,2
DIOVOL FORTE SYR(MINT)SF450ML,1
DROTIN DS SYP 100ML,1
DUPHALAC  SYRUP 250ML,1
DV 60K CAP,1
ECORAB-D CAP,3
FEBUTAZ-40 TAB,1
GEMER-2 TAB***,1
GENCOBA-P TAB 10 S,1
GEPRIDE M3 FORTE TAB 10 S,1
GLYCOMET-GP-1 FORTE  10 SB,1
IDROFOS 150 TAB 3 S,1
IMMUNE ALL TAB,1
KIDODENT PASTE     75GM,1
LEVOLIN FREE INHALER 200MD,1
LIMCEE TAB           15 S,5
LIPIKIND-CB 10 CAP,1
LIPIROSE-10 TAB,1
LITRATE-K27 CAP 15 S,2
LOFTYCAL TAB,3
LOSIUM-25   TAB    30 S,1
MAXVOID-4 TAB 10 S,1
MERO-O ER 300 TAB,1
MET XL 50MG TAB,1
METOSARTAN-50 TAB 10 SF,1
METROGYL-ER TAB 10 S,1
MIRTAZ 15MG TAB   10 SBY,1
MIRTEX 7.5 TAB,2
MOKTEL TAB,1
MONTAIR-4 TAB,1
MUCINAC-600   TAB    10 SF,3
MUCOLITE DROPS       15ML,2
NANOFAST  GEL     30GM,1
NAPROSYN-SR     10 S,1
NEURICA NT TAB,2
NEXITO  10   TAB    10 SBY,5
NEXOVAS 20 TAB,2
NEXPRO RD 40 CAP   10 SF,2
NOWORM SUSP.         10ML,2
NUPENTA DSR CAP,1
NUROKIND GOLD  CAP  10 SBB,3
OLEANZ PLUS TAB  10 SBY,1
OSTEOFIT HD TAB,1
OVERZYME SYP,1
PAN-40MG TAB   15 S,2
PARACETONE TAB 10 S,2
PAUSE  500mg   TAB  10 SA,1
PEPTARD 20MG TAB 15 S##,5
PICOPRIME SYP 100ML,1
REFRESH  LIQUIGEL  10ML,1
REMO MV 500 TAB,1
REPACE-AF  TAB       10 SF,3
REXIPRA LITE TAB,1
ROLES-20MG  TAB    15 SF,1
ROLITEN 2MG TABS  10 S,1
ROSUMAC ASP 75 TAB 10 S,1
SAAZ  DS  TAB        10 S,4
SATROGYL-O-TAB       10 SBY,1
SEBIFIN PLUS CREAM  15GM,1
SERZEST 100  TAB   10 SB,1
SERZEST-25 MG TAB  10 SBY,1
SNOVIT-LZ  SYP     200ML,1
SORBIDIOL-150 TAB  10 SBW,1
SUCRAL O SYR.   200 ML,1
SYNERTAB 10 S,1
TAMDURA  CAP         10 SF,3
TELISTA 80 TAB      15 SF,1
TELMA  40 TAB 30 S,1
TELMA AM TAB,1
TELSARTAN 40 TAB,1
TOFE TAB 10 S,1
TRAJENTA 5 TAB 10 SA,3
TRIMEGAVOG 2MG TAB,1
TRIVOLIB-1MG TAB       10 SB,1
UDILIV 300 TAB,1
VALPARIN CHRONO 500  10 S,3
VELOZ 20  TAB       15 s,2
VELOZ-IT  CAP       10 S,1
VERTIN 16 TAB 15 S,1
VIDAGLO M 50/500 TAB,1
VILDAPHAGE M TAB,1
VITABEND T TAB,1
VITXAN TAB,2
VOVERAN-50 MG TAB     15 S,1
VOVERAN-SR 100 TAB  15 S,1
XIGDUO XR 10/1000MG TAB,2
XILIA-MP 2  TAB        10 S,1
ZEET EXPT.          100ML,1
ZENTOP TAB 15 S ##,1
ZERODOL-CR TAB     10 SA,1
ZN 20   SYP      100ML,1
ZUKANORM M 1000 TAB,2
