Item Name,Quantity
AMLOVAS 2.5MG TAB    15 S,1
BECADEXAMIN CAP      30 S,2
BETADINE POWDER      10GM,1
CANDID B LOTION   30ML,1
CEPODEM-200mg TAB  10 SF,1
CIPLOX EYE/EAR DROP  10ML,6
DIGENE GEL (O) 200ML,5
DUOLIN CFC FREE INHALER 200MD,1
ELECTRAL GRANULES 21.8GM,14
ENZOMAC PLUS  10 SBOX,1
FORACORT 400  INHALER,1
FORGLYN RESPIC CAP,1
GABANTIN-PLUS TAB  10 S,2
INDERAL LA 40 TAB,2
KETOROL DT TAB,1
MACSART AM TAB,2
MACSART-40     10TAB,2
NOR METROGYL PLUS TAB 10 S,5
NOWORM SUSP.         10ML,2
PANKREOFLAT TAB 15 S,1
REPACE-AF  TAB       10 SF,1
RIOMET OD  500mg  TAB  15 S,2
SARTEL-AM   TAB     15 SA,1
SYNTRAN SB 130 TAB,1
TENLIP M TAB,1
THYRONORM 100MG  100 S,2
TIGATEL AM 40 TAB,3
TRINERVE LC  TAB   10 SA,1
TRIOLMEZEST-40 TAB   10 S,1
TRIVOLIB FORTE 2MG 10 S,2
VALPARIN CHRONO 500  10 S,1
VELOZ 20  TAB       15 s,2
VISCOSIN LS SYP 100ML,1
WALAPHAGE 500MG TAB 15 S,3
ZITEN TAB 15 S,1
