Item Name,Quantity
A TO Z IMMUNE TAB,1
AB PHYLLINE CAP 10 S,1
ACETIK EAR DROP 10ML,1
ADVASTAT-10 TAB 10 S,3
ALDO-10 TAB,1
APWELL SYP. 200ML,2
ARZEP NASAL SPRAY 10ML,1
ATORVA 40MG TAB 10 SF,2
ATORVA-10MG TAB,2
ATROLET 10 MG TAB 20 S,1
BEPLEX FORTE TAB 20 S,2
BEROCIN DZ TAB,3
BETADINE LOTION 100ML,2
BETADINE GARGLE 50ML,1
BETADINE GARGLE 100ML,1
BILANIX 20MG TAB,2
BIO D3 XT TAB,2
CALCIMAX-FORTE TAB 30 S,1
CANDID CREAM 30GM,1
CARCA-3.125mg TAB 15 SA,1
CAVIT TAB,5
CHEERIO T. PASTE 75GM,1
CIFRAN-500mg TAB 10 S,2
CILACAR T 80 TAB 10 S,1
CILACAR TC 6.25 10 S,3
CILACAR-20MG 10 S,4
CILACAR-T TAB 10 SBOX,3
CILAPAM FN TAB,2
CLOP-S NANO LOTION 20ML,1
CLOPITAB-A 75MG 15 SB,2
CONCOR-COR 2.5MG 10 S,1
COTTON (BENGAL) 25GM,16
COTTON (BENGAL)100GM,4
CTD T 12.5/80 TAB,1
CYTOGARD OD 60MG,2
D-FAX 50 TAB,2
DAXID-100 TAB,2
DAZIT-5 TAB,5
DENTOGEL GEL 10GM,1
DEPRANEX-5 TAB,1
DESVAL-ER 500 10 SBW,1
DOMPAN TAB 10 SF,3
DORFREE MR 8 TAB,5
DUPHALAC SYRUP 250ML,1
DUZELA-20 CAP 10 SB,4
ENCELIN M 50/1000 TAB,1
ENCORATE CHRONO 500 10 S,1
EPTUS 25 TAB,1
ESOZ-20MG TAB 15 SA,1
EVA-Q SYP 200ML,1
FEBUMAC-40 TAB 10 S BOX,3
FEBUTAZ-40 TAB,2
FERISOME TAB,1
FLAVEDON-MR TAB 10 SBY,4
FLODART TAB 10 SBOX,3
GABANTIN FORTE TAB 10SF,2
GEMINOR M2 FORTE TAB,1
GEMINOR M4 FORTE 15 S,1
GLIMESTAR-M1 TAB 10 S,2
GLIMFIRST M 1 TAB 10S,2
GLUCONORM-G 1 TAB 15 S,1
GLYCIPHAGE 250mg 10 S,3
GLYCIPHAGE 850MG TAB 10 S,2
GLYCIPHAGE G2 TAB 10 S,4
GLYCOMET-GP-1 TAB 15 S,1
HAPPI 20 TAB,1
INDERAL LA 40 TAB,1
IROZORB TAB 10 S,2
KETO CREAM 30GM,1
KTC SHAMPOO 100ML,1
LACTIHEP SYP 200ML,1
LANTUS CARTRIDGE 3ML,1
LEVIPIL-750 10TAB,3
LIPIROSE-10 TAB,1
LONAZEP 0.25MG TAB 15 S,2
LONAZEP 0.5 TAB 15S,5
LONAZEP-1MG TAB 10 SBOX,3
MACBRITE-D3 800IU DROP 15ML,1
MARILIV DS SYP 200ML,1
MAXREL TAB 10 S,1
MAXVOID 8 TAB,2
MEGANEURON OD PLUS 10 S,2
MENOTRACK TAB,1
MET XL 25 TAB,1
MINTOP EVA 5% LOTION 60ML,1
MIRTAZ- 7.5 MG TAB 10 SBY,2
MONTAIR-4 TAB,1
NASIVION(CLASSIC) AD DR10ML,1
NATRILIX-SR TAB 10 SA,1
NEOPEPTINE SYP 100ML,1
NEUROKEM 50,2
NEXPRO RD 40 CAP 10 SF,3
NICARDIA XL 60 TAB,2
NIKORAN-5MG TAB 20 S,3
NORMAXIN MB TAB 10 S,1
NOVOMIX 30 PENFIL 3ML,1
OA SOFT TAB,1
OBETOHEP 5 TAB,1
OBEZITA-60 TAB,1
OLMESAR A40MG TAB,1
OLSERTAIN 20MG TAB 15 S,2
OROFER XT TAB 10 S,3
OVRAL- L TAB 21 S,2
PACIMOL ACTIVE TAB,1
PANIDO-DSR CAP 10 SF,1
PANTOCID - IT CAP 10 SF,3
PANTOCID- DSR CAP 15 S,3
PIOGLIT-7.5mg TAB 10 SBW,1
PRAT DSR TAB,1
PREGEB M 75 TAB 10 SA,3
PRINCICAL TAB 10,3
PROTHIADEN 25MG TAB 15 S,2
RABICRIS-DSR TAB 10 S,3
RANTAC SYP 100ML,1
RANTAC OD 300 TAB,2
REVILUS SHAMPO 100ML,1
RICONIA LP TABS 15 S,2
ROSUMAC GOLD 20 TAB,1
ROSUVAS 5MG TAB 15 S,2
ROZFIRST 10 MG TAB 10 S,1
SARIDON TAB 10 S,21
SIMILAC IQ STAGE-2,1
SPECTRA 10MG CAP 10 S,1
STATPURE 10 TAB,1
STRESNIL-0.5MG TAB 10 S,3
SURBEX-XT TAB 15 S,2
SURFAZ CREAM 15GM,1
SURFAZ SN CREAM 10 GM,5
SWITGLIM-M 2/1000 TAB,1
SYNDOPA CR 250 TAB 10 S,6
SYNDOPA PLUS TAB,10
T-BACT OINTMENT 5GM,3
T-LET 40 TAB,1
TAKFA OINT 10GM,1
TAXIM O DRY SYP 30ML,1
TELDAWN AM TAB 10 S,3
TELMA AM TAB,1
TELMIKIND-H 80 TAB 10 S,2
TELVAS CT 80 TAB,1
TENGLYN M 500MG,2
TENIVA TAB,1
THYRONORM 12.5 100 S,1
THYROX-200 TAB 100 S,1
TIDE-5 TAB 10 SBOX,3
TORGLIP M 50/1000 TAB,2
