Item Name,Quantity
ACTIS C2 TAB 10 S,3
ADMENTA-5  TAB   10 SB,1
ATORVA-10MG TAB,2
CALCIMAX PLUS SYP 200ML,1
CANDID MOUTH PAINT 25 ML,1
CYRA-D  CAP    10 SF,5
DAPAGREAT-10 TAB,1
FEBUGET 40 TAB,2
FEMILON   TAB        21 S,1
GLITARAY M-2 TAB,2
KLM D3 NANO DROP 15ML,1
LEVIPIL-250  TAB  10 SBOX,1
MACTOTAL SUS 200ML,1
MONTEK AB TAB  10 SF,3
NANO FAST 4X SOLUTION 30ML,1
NUROKIND LC TAB,1
OBEZITA-60 TAB,1
OLTHA 5 MG TAB,1
TENELIVIO MF 500 TAB 10 S,1
TORGLIP M 50/500,3
VILSURE M TAB,2
VOGLITOR MD 0.3 TAB,1
