Item Name,Quantity
ACOGUT 300 ER TAB,1
ALCORAN-5 TAB (PH),1
AMARTIZA CD3 TAB,1
AMLOPIN -AT TAB 10 SF,1
ARKAMIN TAB 30 S,2
ASCORIL-LS DROPS 15ml,1
ASTHALIN ROTACAPS 60 S,1
ASTYMIN-M FORTE TAB 2 X 15 S,1
AUGMENTIN-625 DUO TAB 10 S,12
BDFIX 200MG 10S,5
BEPOSUREGE DROP 5ML,1
BETADINE LOTION 100ML,2
BETADINE GARGLE 100ML,2
BETNESOL ORAL DROP 10ML,1
BILERT-20 TAB,1
BRUTAFLAM-90 TAB,1
CANDITRAL SB 130MG CAP,1
CANDITRAL SB 65 TAB,3
CHYMORAL FORTE 20 S,1
CHYMORAL-BR TAB 10 SBM,3
CILACAR-T TAB 10 SBOX,1
CILAPAM-H TAB,1
CLARIBID 500MG TAB 10 S,1
CLONOTRIL-0.25 MG TAB,1
COECORTT-6 TAB,2
COMBIFLAM TAB. 20 S,6
CORBIS-5 TAB,1
CRESAR CT 40 TAB,1
CYBLEX M 30 XR TAB,1
DAPANORM M 10 TAB,1
DENIFAX 50 TAB,1
DOBESIL CAP 10 SB,1
DUZELA-20 CAP 10 SB,1
DYDROBOON 10 TAB,1
EBERWIN CREAM 30GM,1
ECOD PLUS CAP 15 S,2
ED-SAVE 5MG TAB 10 SBOX,2
ESOFINE LS 10 S,1
F-TIN 20MG 10 S,3
FEBUMAC-40 TAB 10 S BOX,5
FEROZORB TAB 10 S,1
FIBROGESIC SR TAB 10 S,1
FLUNARIN-10MG TAB 10 SB,3
FOLLIHAIR TAB,1
FOMTIDE 200 INHALER,1
FORCAN-200 TAB,2
GEMCAL CAP 15 S,2
GEMER P1 TAB 10 S,3
GLIMESTAR-1 TAB 10 SBOX,2
GLUCONORM-SR-1G 15 S,1
GLYCIPHAGE 500MG 20 S,5
GLYROVA CV TAB,1
GP-3 TAB 10 SB,1
GRILINCTUS LS SYP 100ML,5
HEXIDINE M/WASH 160ML,1
HEXIGEL GEL 15GM,3
HUMALOG MIX 50 CARTIDGE 3ML,1
HYDENT K ORAL GEL 100GM,1
JUPIROS-5 TAB,1
KETOROL DT TAB,1
KIDODENT PASTE 75GM,1
LEVOLIN FREE INHALER 200MD,1
LEXANOX PLUS CREAM 5 GM,1
LIPIKIND-10 TAB,2
LOFTYCAL TAB,3
LOOZ SOLUTION 500ML,1
LOSANORM-H 50TAB 10 SBO,1
LULIFIN CREAM 20GM,1
LULIFIN CREAM 50GM,1
LYCAL D TAB 10 S,1
MACSART AM TAB,4
MAXRICH CREAM 150GM,1
MEGANEURON OD PLUS 10 S,2
MELACARE CREAM 20G.,1
MET XL AM 25/2.5 TAB***,1
METOSARTAN-50 TAB 10 SF,1
METROGYL P 2% OINT 20GM,1
METROGYL-ER TAB 10 S,2
MILFLOX EYE DROP 10ML,1
MONTAIR-4 TAB,1
MONTEMED-LC TAB 10 SF,1
MOX CLAV 625MG 10 S,5
MUCOPAIN OINT 15GM,2
MUSCOFLEX GEL 30GM,1
NATUROLAX POWDER 300GM,1
NITROLONG-2.6 TAB 30S,1
NUTRIGOLD MOM (CHOCO) 400GM,1
OBETOHEP-10 TAB,1
OLMETIME-40 TAB,1
OMNACORTIL SYP. 60 ML,2
ONDEM MD 8 TAB 10 S,1
OROFER XT TAB 10 S,3
ORVAS-FT TAB 10 SF,1
PACROMA 10GM,1
PAN IV INJ 40MG,2
PAN JUNIOR 20 TAB,1
PODXETIL 50 TAB 10 S,1
PROVIDAC CAP 14,1
RABICOL DSR TAB,3
RACIPER D 40 TAB 10 S,1
REBAGEN TAB 10 SF,1
REMYLIN AX TAB,1
REVELOL AM 50/5 TAB 10 S,2
REVLAMER-800 TAB,3
ROSUVAS CV 10 TAB 10S,1
ROZALET 20MG TAB,1
SAFEVIT SYP 200ML,5
SALBAIR TRANSHALER 250,2
SECALIA CREAM 50GM,1
SENSODENT K PASTE 100GM,1
SGF 110TAB 1PC,3
SHELCAL HD TAB 15 S,1
SOBISIS TAB,2
SPORIDEX-REDIMIX 250 SYP,1
STAMLO 2.5MG TAB 30 S,10
SUMO L 250 DS SYP 60ML,5
SUNSTOP-19 50GM,1
SUPERMET AM TAB,1
SUSTEN 200 CAP 10 S,1
TAXIM O FORTE SYP 60ML,1
TEGRITAL-200MG TAB 10 sF,10
TELDAWN H TAB,1
TELFIRST-AM TAB,1
TELPRES LN 40 TAB,2
TENELIVIO MF 1000TAB 10 S,1
THYROX 75 TAB 100 S,1
TIDE 20 TABS 10 S,1
TIDE-10 TAB 10 SBOX,1
TIMZID MR TAB,1
TRYPTOMER 10MG TAB 30 S,2
ULTRA D3 DROP 15ML,1
VELOZ-IT CAP 10 S,1
VENUSIA MAX CREAM 150GM,1
VIBITE M 1000 TAB,1
VILDAPHAGE M TAB,1
VINGLYN TAB,1
VITAZYME CAP 10 SB,9
ZAPTRA 25MG CAP 10 SF,1
ZERODOL GEL 30GM,1
ZERODOL-SP TAB 10 SA,3
ZITHROX XL 200 SYRUP,1
ZYDIP-C CREAM 20GM,1
