Item Name,MRP,Purchase Rate,Quantity,Expiry Date,Batch Number,Discount %,Discount Value,GST %,GST Value,Amount,Billing Date
VELTAM- 0.4MG TAB 15 SA,156,111.43,1,11-02-2023,N2100222,4,4.46,12,106.97,119.81,01-Apr-21
MACFAST 650 TAB,20.49,14.63,1,10-08-2022,KMI2008A,4,0.59,12,14.04,15.72,01-Apr-21
CEFTAS-200 TAB 10 S,83.37,59.55,1,10-08-2022,L1520388,4,2.38,12,57.17,64.03,01-Apr-21
SARTEL-80 TAB 15 SF,168.34,120.24,1,10-08-2023,N2002237,4,4.81,12,115.43,129.29,01-Apr-21
GEMER V2 TAB,138.32,98.8,3,10-08-2023,ZFX0020,4,11.86,12,284.54,318.68,01-Apr-21
EUREPA V 1/0.3TAB,165,117.86,1,10-04-2023,2KR8G002,4,4.71,12,113.15,126.73,01-Apr-21
PAUSE 500mg TAB 10 SA,181.81,138.52,1,10-09-2024,E16GQ20037,4,5.54,5,132.98,139.62,01-Apr-21
NULONG-10 TAB 10 SBOX,89,63.57,2,01-10-2022,NLBS0028,4,5.09,12,122.05,136.69,01-Apr-21
TRIPLIXAM TAB,175,125,1,01-10-2022,362002,4,5,12,120,134.4,01-Apr-21
STON-1 B6 SYP 200ML,180.89,129.21,2,10-03-2022,L1160010,4,10.34,12,248.08,277.84,01-Apr-21
ARKAMIN TAB 30 S,60.1,42.93,1,10-07-2023,AI0220089,4,1.72,12,41.21,46.15,01-Apr-21
PRUEASE 2MG TAB,275,196.43,1,10-09-2022,PXX0034,4,7.86,12,188.57,211.19,01-Apr-21
STAMLO T 80 TAB,238.15,170.1,3,10-08-2022,MST200903,4,20.41,12,489.89,548.67,01-Apr-21
OFM SUSPEN 60ML,43.73,31.24,1,10-04-2023,XQM21007,4,1.25,12,29.99,33.59,01-Apr-21
VOLIX 0.3MG TAB 15 S,187.5,133.93,1,10-04-2023,EMX2768A,4,5.36,12,128.57,143.99,01-Apr-21
MAXGALIP AT TAB 10 SF,225,160.71,1,10-04-2023,FHX0707,4,6.43,12,154.28,172.8,01-Apr-21
CETANIL T TAB 15 S,181.7,129.78,1,11-01-2022,2008001638,4,5.19,12,124.59,139.55,01-Apr-21
RANTAC SYP 100ML,81.01,57.87,1,10-06-2022,XRS21006,4,2.31,12,55.56,62.22,01-Apr-21
REVAS - 25 TAB 10 SB,41.6,29.71,1,10-09-2022,2008001305,4,1.19,12,28.52,31.94,01-Apr-21
CONSEVEL CAP 10 SF,205,138.98,1,10-05-2022,RPB0542A,4,5.56,18,133.42,157.44,01-Apr-21
CONSEVEL CAP 10 SF,205,138.98,1,10-05-2022,RPB0542A,4,5.56,18,133.42,157.44,01-Apr-21
MYOSPAZ TAB,124.5,88.93,2,11-01-2023,496,4,7.11,12,170.75,191.25,01-Apr-21
PREGASTAR M OD 75 10 S,171.4,122.43,1,10-01-2022,PMT20004,4,4.9,12,117.53,131.63,01-Apr-21
FUSIGEN SPRAY(S) 20GM,137,97.86,1,10-07-2022,A0V099,4,3.91,12,93.95,105.23,01-Apr-21
VALTOVAL-500 3 S BOX,149,106.43,3,10-04-2022,BSX0651,4,12.77,12,306.52,343.3,01-Apr-21
ZOFIX SYP 30ML,48.36,34.54,1,11-02-2021,AN0208001,4,1.38,12,33.16,37.14,01-Apr-21
STATOR-F TAB,224.52,160.37,1,11-02-2022,HTG0002,4,6.41,12,153.96,172.44,01-Apr-21
OLMY-40 TAB 10 SF,226.9,162.07,1,10-06-2022,I002945,4,6.48,12,155.59,174.27,01-Apr-21
OLMY-40 TAB 10 SF,249.55,178.25,1,01-10-2022,1004302,4,7.13,12,171.12,191.66,01-Apr-21
TIDE 20 TABS 10 S,90.1,64.36,1,10-08-2022,73TTE017,4,2.57,12,61.79,69.21,01-Apr-21
GLYCOMET SR 500 TAB,42.78,30.56,2,11-01-2022,28021443,4,2.44,12,58.68,65.72,01-Apr-21
URILISER SYP 200ML,154.45,110.32,1,10-09-2022,LUR-733,4,4.41,12,105.91,118.61,01-Apr-21
TENGINOW M 500 TAB 10 S,95.7,68.36,2,10-06-2022,2082GTA383,4,5.47,12,131.25,147.01,01-Apr-21
TENIVA-M TAB,294,210,1,10-01-2023,N2100386,4,8.4,12,201.6,225.8,01-Apr-21
TIMOLET OD DROP 3ML,39.89,28.49,1,10-07-2022,KFX0223,4,1.14,12,27.35,30.63,01-Apr-21
TRIGLIMISAVE HS 2MG 10 S,138.49,98.92,2,10-01-2023,GTGM20002,4,7.91,12,189.93,212.73,01-Apr-21
TRIPIN-OM TAB 10 SA,178.75,127.68,1,10-01-2023,A2I0034,4,5.11,12,122.57,137.27,01-Apr-21
VELOZ-IT CAP 10 S,222.75,159.11,1,01-10-2021,VT200506,4,6.36,12,152.75,171.09,01-Apr-21
VENLA XR 37.5MG 10 S,43.56,31.11,1,10-08-2022,GVNA20004,4,1.24,12,29.87,33.45,01-Apr-21
VIRJEEN COCO 100ML,280,213.33,1,11-01-2023,HAS728,4,8.53,5,204.8,215.04,01-Apr-21
ZEMPRED-4 TAB 10 S,51,36.43,2,10-08-2023,EMX2278B,4,2.91,12,69.95,78.35,01-Apr-21
ZITHROCIN 100 SYP 15ML,31,22.14,1,10-01-2022,ML190791,4,0.89,12,21.25,23.81,01-Apr-21
ZOFIX 100 DRY SYP 30ML,71.81,51.3,1,10-04-2022,AN0233001,4,2.05,12,49.25,55.17,01-Apr-21
OTOBIOTIC EAR DROP 5ML,105,75,5.5,10-03-2022,OT-381,4,16.5,12,396,443.52,01-Apr-21
LUMENAC 10 SBOX,263.2,188,1,01-10-2022,E90017,4,7.52,12,180.48,202.14,01-Apr-21
LYSICON-V SYP 200ML,131.7,94.07,1,10-03-2022,LSV0014,4,3.76,12,90.31,101.15,01-Apr-21
MACTOR-ASP-75 CAP 10 SF,36.85,26.33,1,10-02-2022,TF201268,4,1.05,12,25.28,28.32,01-Apr-21
MASTOWELL M TAB,159,113.57,2,10-01-2022,2052GTA707,4,9.09,12,218.05,244.21,01-Apr-21
METROGYL DG GEL FORTE 20GM,56.26,40.19,2,11-01-2022,PGX0040,4,3.22,12,77.16,86.42,01-Apr-21
MONOTRATE SR 60 10 SF,71.22,50.87,1,11-01-2022,GTB0315A,4,2.03,12,48.84,54.7,01-Apr-21
MONTEMAC - L TAB 10 SA,123,87.86,2,01-10-2023,KMF2012A,4,7.03,12,168.69,188.93,01-Apr-21
MUSCOFLEX GEL 30GM,135,96.43,1,10-03-2022,20006,4,3.86,12,92.57,103.67,01-Apr-21
NERVMAX -SR 75MG 10 SBB,173.5,123.93,1,10-05-2022,20442874,4,4.96,12,118.97,133.25,01-Apr-21
NEURICA NT TAB,155,110.71,2,10-09-2022,NEUR020,4,8.86,12,212.56,238.06,01-Apr-21
NEUROKEM 50,103.5,73.93,2,11-01-2022,20442787,4,5.91,12,141.95,158.99,01-Apr-21
NEXOVAS 10 TAB,155.1,110.78,2,11-01-2022,TNA2003A,4,8.86,12,212.7,238.22,01-Apr-21
NICOSTAR-5 20 S,271.8,194.14,2,10-05-2022,14TNF576,4,15.53,12,372.75,417.49,01-Apr-21
O2 SUSPENSION 60ML,57,40.71,1,10-01-2023,E10138,4,1.63,12,39.08,43.76,01-Apr-21
