Date,Number of Bills,Month
01-04-2021,15,April
31-03-2022,3,March
02-04-2021,11,April
03-04-2021,10,April
04-04-2021,3,April
05-04-2021,14,April
06-04-2021,17,April
07-04-2021,21,April
08-04-2021,14,April
09-04-2021,20,April
10-04-2021,8,April
11-04-2021,1,April
12-04-2021,22,April
13-04-2021,25,April
14-04-2021,20,April
15-04-2021,24,April
16-04-2021,22,April
17-04-2021,24,April
18-04-2021,1,April
19-04-2021,21,April
20-04-2021,27,April
21-04-2021,22,April
22-04-2021,23,April
23-04-2021,19,April
24-04-2021,20,April
25-04-2021,2,April
26-04-2021,23,April
27-04-2021,30,April
28-04-2021,26,April
29-04-2021,22,April
30-04-2021,31,April
01-05-2021,23,May
02-05-2021,1,May
03-05-2021,20,May
04-05-2021,21,May
05-05-2021,19,May
06-05-2021,36,May
07-05-2021,31,May
08-05-2021,26,May
09-05-2021,1,May
10-05-2021,25,May
11-05-2021,19,May
12-05-2021,23,May
13-05-2021,24,May
14-05-2021,23,May
15-05-2021,18,May
16-05-2021,1,May
17-05-2021,22,May
18-05-2021,23,May
19-05-2021,23,May
20-05-2021,20,May
21-05-2021,22,May
22-05-2021,19,May
23-05-2021,1,May
24-05-2021,26,May
25-05-2021,19,May
27-05-2021,10,May
28-05-2021,21,May
29-05-2021,20,May
30-05-2021,2,May
31-05-2021,18,May
01-06-2021,26,June
02-06-2021,18,June
03-06-2021,20,June
04-06-2021,22,June
05-06-2021,23,June
06-06-2021,1,June
07-06-2021,20,June
08-06-2021,17,June
09-06-2021,24,June
10-06-2021,18,June
11-06-2021,20,June
12-06-2021,17,June
13-06-2021,1,June
14-06-2021,22,June
15-06-2021,25,June
16-06-2021,22,June
17-06-2021,17,June
18-06-2021,29,June
19-06-2021,19,June
21-06-2021,29,June
22-06-2021,18,June
23-06-2021,18,June
24-06-2021,17,June
25-06-2021,29,June
26-06-2021,27,June
28-06-2021,19,June
29-06-2021,23,June
30-06-2021,29,June
01-07-2021,17,July
02-07-2021,28,July
03-07-2021,27,July
05-07-2021,25,July
06-07-2021,17,July
07-07-2021,22,July
08-07-2021,20,July
09-07-2021,26,July
10-07-2021,25,July
11-07-2021,2,July
12-07-2021,22,July
13-07-2021,23,July
14-07-2021,20,July
15-07-2021,20,July
16-07-2021,23,July
17-07-2021,23,July
18-07-2021,2,July
19-07-2021,24,July
20-07-2021,23,July
21-07-2021,18,July
22-07-2021,27,July
23-07-2021,24,July
24-07-2021,12,July
25-07-2021,1,July
26-07-2021,17,July
27-07-2021,23,July
28-07-2021,21,July
29-07-2021,19,July
30-07-2021,20,July
31-07-2021,24,July
02-08-2021,16,August
03-08-2021,25,August
04-08-2021,25,August
05-08-2021,23,August
06-08-2021,24,August
07-08-2021,25,August
08-08-2021,1,August
09-08-2021,21,August
10-08-2021,27,August
11-08-2021,19,August
12-08-2021,19,August
13-08-2021,24,August
14-08-2021,17,August
15-08-2021,1,August
16-08-2021,17,August
17-08-2021,18,August
18-08-2021,22,August
19-08-2021,20,August
20-08-2021,27,August
21-08-2021,17,August
22-08-2021,2,August
23-08-2021,25,August
24-08-2021,25,August
25-08-2021,20,August
26-08-2021,27,August
27-08-2021,30,August
28-08-2021,24,August
30-08-2021,19,August
31-08-2021,22,August
01-09-2021,18,September
02-09-2021,23,September
03-09-2021,28,September
04-09-2021,26,September
06-09-2021,26,September
07-09-2021,18,September
08-09-2021,25,September
09-09-2021,31,September
10-09-2021,22,September
11-09-2021,21,September
13-09-2021,21,September
14-09-2021,24,September
15-09-2021,19,September
16-09-2021,24,September
17-09-2021,20,September
18-09-2021,17,September
20-09-2021,17,September
21-09-2021,21,September
22-09-2021,20,September
23-09-2021,21,September
24-09-2021,24,September
25-09-2021,25,September
26-09-2021,1,September
27-09-2021,21,September
28-09-2021,20,September
29-09-2021,15,September
30-09-2021,18,September
01-10-2021,28,October
02-10-2021,17,October
03-10-2021,3,October
04-10-2021,19,October
05-10-2021,21,October
06-10-2021,27,October
07-10-2021,20,October
08-10-2021,23,October
09-10-2021,23,October
10-10-2021,1,October
11-10-2021,17,October
12-10-2021,5,October
14-10-2021,3,October
15-10-2021,5,October
16-10-2021,8,October
17-10-2021,5,October
18-10-2021,11,October
19-10-2021,18,October
20-10-2021,11,October
21-10-2021,16,October
22-10-2021,20,October
23-10-2021,20,October
24-10-2021,2,October
25-10-2021,22,October
26-10-2021,18,October
27-10-2021,23,October
28-10-2021,26,October
29-10-2021,19,October
30-10-2021,20,October
31-10-2021,2,October
01-11-2021,28,November
02-11-2021,26,November
03-11-2021,26,November
04-11-2021,11,November
05-11-2021,9,November
06-11-2021,7,November
07-11-2021,3,November
08-11-2021,24,November
09-11-2021,29,November
10-11-2021,23,November
11-11-2021,20,November
12-11-2021,23,November
13-11-2021,11,November
15-11-2021,10,November
16-11-2021,17,November
17-11-2021,11,November
18-11-2021,17,November
19-11-2021,28,November
20-11-2021,22,November
21-11-2021,1,November
22-11-2021,23,November
23-11-2021,23,November
24-11-2021,24,November
25-11-2021,23,November
26-11-2021,17,November
27-11-2021,16,November
28-11-2021,1,November
29-11-2021,24,November
30-11-2021,19,November
01-12-2021,24,December
02-12-2021,27,December
03-12-2021,18,December
04-12-2021,16,December
05-12-2021,1,December
06-12-2021,14,December
