Item Name,Quantity
A TO Z NS TAB 15 S,10
A TO Z NS DROPS 15ML,1
A TO Z GOLD TAB 15 S,2
A TO Z GOLD TAB 30 S,1
A TO Z NS SYP. 100ML,1
A TO Z NS SYP 200ML,1
AB PHYLLINE CAP 10 S,3
AB PHYLLINE N TAB 10 S,1
AB-FLO CAP 10 SB,2
AB-FLO N 10MG TAB 10 S,2
AB-FLO SR TAB 10 S,1
ABSOLUT 3G TAB 10 S,2
ACE-PROXYVON TAB 10 SA,5
ACECLOREN TAB 10 S,2
ACENAC-MR TAB 10 SA,1
ACENAC-P TAB 10 SBOX,2
ACERON MR 4 TAB 10 S,1
ACERON- P TAB 10 S,1
ACILOC 300 TAB 20 SF,1
ACILOC RD TAB,1
ACILOC RD TAB 30 SBOX,3
ACNEREX FACE WASH 75GM,1
ACNICIN GEL 15GM,2
ACTIS C2 TAB 10 S,3
ADAFERIN GEL 15GM,1
ADICAIN GEL 170ML,3
ADIRAB-DSR CAP,10
ADMOL 650 TAB 10 S,1
ADP-2.5 TAB,3
ADP-5 TAB 15 SF,4
ADVASTAT CV 10 TAB,5
ADVASTAT-10 TAB 10 S,3
ADVITAMIN BABY OIL 340ML,1
AEROCORT INHALLER(CFC FREE)200,1
AF 200 TAB 1 SBB,5
AF-150MG TAB 5 S,1
AFOGLIP TAB 10 S,1
AHAGLOW FACE WASH 50GM,1
AHAGLOW FACE WASH 100GM,1
AIIM-500,1
AIRZ CAP 30(FILE),1
AJADUO 25/5 TAB,1
AKURIT 3MG TABS 10 S,9
ALCROS 200 TAB,1
ALDACTONE-25mgTAB 15 SR,2
ALDACTONE-50 TAB 15 S,2
ALDAY TAB 10 S,1
ALDEP-C TAB,1
ALDIGESIC-P TAB,1
ALDO-AT 50 TAB 10 S,4
ALEX LOZENGES***,1
ALEX SYP 100ML***,2
ALKASOL SYP 200ML,1
ALKASOL SYP 450ML,1
ALKASOL SYP 100ML,2
ALLEGRA 120MG TAB 10 S,5
ALOGRACE CREAM,1
ALPINE 5 TAB,3
ALPRAX 0.25MG TAB 15 S,1
ALTRADAY CAP 10 SF,1
ALZERO 5 MG. 1X10 S,2
ALZOLAM 0.25MG TAB 10 S,25
ALZOLAM 0.5 MG TAB 10 S,16
AMARYL 3 TAB 30 S,1
AMARYL M 2MG TAB 15 S,3
AMARYL M FORTE 1MG TAB 15 S,4
AMARYL M1 TAB,5
AMARYL MV2 TAB,2
AMBIZYME TAB,3
AMBRODIL S SYP 100ML,15
AMBROLITE SYP 100ML,7
AMBROLITE-2S SYP 100ML,2
AMBROLITE-LEVO SYP 100ML,1
AMBROLITE-S LIQ 100ML,3
AMIFRU 40MG TAB 10 S,1
AMITRYN 25MG TAB 10 S,8
AMIXIDE TAB 10 S,2
AMIXIDE-H TAB 10 S,4
AMLIP-5 TAB,5
AMLODAC 10 TAB 30 S,2
AMLODAC 2.5 MG TAB 30 S,1
AMLODAC 5 TAB 30 S,2
AMLODAC AT TAB,1
AMLODAC-10MG TAB 30 S,1
AMLOKIND- 2.5 TAB 30 S,2
AMLOKIND- AT TAB 10 S,5
AMLOKIND- H TAB 10 S,3
AMLOKIND-5 TAB 10 S,12
AMLONG-H TAB 15 S,1
AMLOPIN -AT TAB 10 SF,3
AMLOVAS 10MG TAB 15 S,1
AMLOVAS 5MG TAB 15 S,3
AMLOVAS AT 15 SA,2
AMPILOX DS TAB 10 SF,3
AMPILOX-LB CAP 10 SA,2
AMRUTANJAN STRONG 9ML,1
AMYCORDIAL SYP 200ML,2
ANABOOM A/H FALL SHAMPOO 100M.,1
ANAFORTAN TAB 15 SBG,1
ANGISPAN TR 2.5 25 S,2
ANO METROGYL CREAM 20GM,1
ANOVATE CREAM 20GM,1
ANTIDEP-25 TAB,2
ANUF-250 TAB 10 S,1
APICRIS SYP 200ML,1
ARDEN 325 TAB 15 S,1
ARGIHOPE SACHET 5GM,4
ARIP MT 5 TAB,1
ARKAMIN TAB 30 S,7
ARVAST-10mg TAB 15 SA,1
ASCORIL + EXP 200ML,1
ASCORIL EXPT 120ML,1
ASCORIL-D SYP 100ML,2
ASCORIL-LS SYP 100ML,6
ASOMEX-1.25MG TAB 15 S,1
ASOMEX-2.5MG TAB,2
ASTYMIN-M FORTE TAB 2 X 15 S,4
ATARAX 10MG TAB 15 S,3
ATARAX SYP 100ML,1
ATEN 25MG TAB 14 S,2
ATIVAN 1MG TAB 30 S,4
ATIVAN 2MG TAB,4
ATOCOR 10MG TAB 14 S,1
ATOCOR-10 TAB,1
ATORBEST-10 TAB,1
ATORMAC CV 10 TAB 10 SF,6
ATORMAC CV 20 CAP 10 SF,2
ATORMAC TG TAB 10 SA,2
ATORVA 80 MG TAB 10 SF,1
ATORVA 20 TAB,3
ATORVA-10MG TAB,2
ATROLET 10 MG TAB 20 S,5
AUGMENTIN-1000mg DUO TAB 10 S,1
AUGMENTIN-625 DUO TAB 10 S,11
AUTRIN CAP 30 S,2
AUTRIN XT CAP,1
AVESSA-250 INHALAR,1
AXZE SYP 100ML,2
AZIBACT 500 TAB,1
AZICARE-500 TAB,10
AZIFINE 500 TAB,2
AZILIDE-500 TAB,3
AZITHRAL 200MG SYP 15ml,1
AZITHRAL 250MG. TAB 10 S,1
AZITHRAL 500MG TAB 5 S,3
AZIWOK-500MG TAB 5 S,1
AZOM 500 TAB,2
AZORAN-50mg TAB 10 SBY,1
AZTOR 40MG TAB 15 S,2
AZTOR-10 TAB 15 S,9
AZULIX 1MG MF FORTE TAB 15 S,1
AZULIX 2MF TAB 15 S,2
AZULIX 4MF FORTE TAB 10 S,1
AZULIX MV 2/0.3 TAB,2
AZULIX-2 TAB 10 SBW,8
B-BACT OINT 5G,1
B-FIT CD TAB 10 S,3
B-VITA L SYP 200ML,1
B. PROTIN CHOCOLATE 500GM,3
BANDY SYP 10ML,1
BANDY 400 TAB 1 S,1
BDFIX 200MG 10S,1
