Item Name,Quantity
8X SHAMPOO 60ML,1
A TO Z NS DROPS 15ML,2
A TO Z GOLD TAB 15 S,3
A TO Z GOLD TAB 30 S,1
A TO Z NS SYP 200ML,2
ABSOLUTE WOMEN CAP 10 SBOX,1
ABZORB POWDER 100GM,1
ACE-PROXYVON TAB 10 SA,1
ACECLO-SERA 10TAB,2
ACECLOREN TAB 10 S,1
ACENAC-P TAB 10 SBOX,2
ACERON- P TAB 10 S,2
ACILOC 150 TAB 30 S,2
ACILOC 300 TAB 20 SF,1
ACILOC RD TAB,1
ACILOC RD TAB 30 SBOX,1
ACNESTAR SOAP,2
ACROTAC CAP,1
ACTIS C2 TAB 10 S,5
ADIRAB-DSR CAP,10
ADMOL JUNIOR TAB 10 S,2
ADP-2.5 TAB,2
ADP-5 TAB 15 SF,2
ADVASTAT CV 10 TAB,3
ADVITAMIN BABY OIL 340ML,1
AF 200 TAB 1 SBB,5
AFOGLIP TAB 10 S,1
AKURIT 4MG TAB 10 S,10
ALCROS 100 TAB,3
ALDACTONE-25mgTAB 15 SR,3
ALDACTONE-50 TAB 15 S,2
ALDIGESIC -RAB,1
ALDO-2.5MG TAB 10 BOX,3
ALDO-AT 50 TAB 10 S,3
ALERCHEK OD DROP 3ML,1
ALEX LOZENGES***,1
ALEX (P) PED DROP 15ML,1
ALEX SYP 100ML***,1
ALEX SYSP(SUGER FREE) 100ML,3
ALKASOL SYP 200ML,3
ALKASOL SYP 100ML,4
ALLEGRA 120MG TAB 10 S,3
ALLEGRA SUSP 100ML,1
ALLEGRA-M TAB 10 SBOX,3
ALPRAX 0.25MG TAB 15 S,1
ALPRAX 0.5MG TAB 15 S,1
ALTONIL PLUS 3 TAB,1
ALTONIL PLUS 5 TAB,1
ALTRADAY CAP 10 SF,2
ALVIROZ TRIO CAP 10 S,3
ALZERO 5 MG. 1X10 S,1
ALZOLAM 0.25MG TAB 10 S,20
ALZOLAM 0.5 MG TAB 10 S,18
AMARYL 2 TAB,1
AMARYL 3 TAB 30 S,2
AMARYL M1 TAB,4
AMARYL M2 TAB,1
AMARYL MV1 TAB 15 S,2
AMARYL MV2 TAB,2
AMBRODIL S SYP 100ML,8
AMBROLITE SYP 100ML,2
AMBROLITE-D+ SYP 100ML,1
AMBROLITE-LEVO SYP 100ML,1
AMBROLITE-S LIQ 100ML,2
AMINOFIT CAP 15 S,2
AMITRYN C TAB 10 S,1
AMITRYN-10MG TAB 10 SBB,2
AMITRYN-25 TAB,1
AMLIP-5 TAB,3
AMLODAC 10 TAB 30 S,2
AMLODAC 5 TAB 30 S,2
AMLOKIND - L TAB 10 S,6
AMLOKIND 5 TAB,6
AMLOKIND- 2.5 TAB 30 S,1
