Item Name,Quantity
4-QUIN DROP           5ML,1
A TO Z  NS  TAB       15 S,4
A TO Z IMMUNE TAB,1
A TO Z NS SYP 200ML,2
AB-FLO  CAP      10 SB,1
ACCU-SURE STRIPS 50 S,1
ACE-PROXYVON  TAB   10 SA,1
ACENAC-P TAB     10 SBOX,2
ACILOC 150 TAB    30 S,2
ACILOC RD TAB     30 SBOX,1
ACOGUT 300 ER TAB,2
ACOGUT TAB,1
ACTON OR PLUS TAB,1
ACULIP- H   TAB       20 SF,3
ADALENE NANO GEL 15GM,1
ADICAIN GEL 170ML,2
ADIRAB-DSR CAP,13
ADMENTA-10   TAB   10 S,1
ADMENTA-5  TAB   10 SB,5
ADVASTAT CV 10 TAB,2
ADVITAMIN BABY OIL 170ML,1
AEROCORT INHALLER(CFC FREE)200,2
AEROCORT ROTACAPS  30 S,1
AF-150 TAB      1 S,3
AF-300 TAB,1
AHAGLOW FACE WASH   50GM,1
AHAGLOW FACE WASH  100GM,1
ALASPAN  TAB     10 SBW,2
ALDACTONE-25mgTAB 15 SR,6
ALDACTONE-50 TAB   15 S,2
ALDO-AT 50  TAB     10 S,4
ALDOSMIN 500 TAB,3
ALKASOL  SYP    200ML,1
ALKASOL SYP     450ML,2
ALKASOL SYP   100ML,3
ALL LIV 10 SYP 200ML,2
ALLEGRA  120MG  TAB   10 S,2
ALLEGRA-M   TAB   10 SBOX,3
ALLERCET PED TAB10 S,3
ALPRAX 0.5MG TAB     15 S,1
ALTONIL PLUS 5 TAB,1
ALTRADAY  CAP         10 SF,4
ALVIROZ TRIO CAP 10 S,1
ALVIROZ-CV CAP,1
ALZOLAM 0.25MG TAB   10 S,2
ALZOLAM 0.5 MG TAB   10 S,7
AMARTIZA CD3 TAB,1
AMARYL 3 TAB   30 S,1
AMARYL M 2MG TAB 15 S,1
AMARYL M1 TAB,2
AMARYL-1MG TAB 30 SB,2
AMBIZYME TAB,1
AMBRODIL PLUS SYP  100ML,1
AMBRODIL S SYP 100ML,7
AMBRODIL SYRUP      100ML,1
AMBROLITE   SYP    100ML,2
AMBROLITE-2S  SYP   100ML,2
AMBROLITE-LEVO  SYP 100ML,1
AMBROLITE-S LIQ  100ML,1
AMFY GEL (0.1%)(S) 15GM,1
AMIFRU 40MG TAB      10 S,3
AMINOFIT CAP 15 S,2
AMITRYN-25 TAB,1
AMIXIDE   TAB      10 S,1
AMLIP-5 TAB,3
AMLODAC 10 TAB 30 S,3
AMLODAC 2.5 MG TAB 30 S,1
AMLOKIND 5 TAB,8
AMLOKIND- 2.5 TAB 30 S,1
AMLONA-5 TAB,2
AMLONG-A  TAB  15 SF,3
AMLOSAFE TM 40 TAB,1
AMLOVAS 10MG TAB     15 S,1
AMLOVAS 5MG TAB      15 S,5
AMLOVAS-H    TAB   15 SA,2
AMPOXIN CV 625 TAB,1
AMROLSTAR CREAM 30GM,1
AMRUTANJAN STRONG  9ML,1
AMTAS-5 TAB 30 S,1
ANAFORTAN  TAB      15 SBG,1
ANAFORTAN MF TAB 10 S,1
ANGISPAN TR 2.5     25 S,1
ANGIZEM CD 90mg CAP 10 SB,4
ANOVATE CREAM 20GM,2
ANUF-250 TAB 10 S,2
ANXIT  0.25 TAB      15 S,1
APICRIS SYP 200ML,1
AQUASOFT LOTION 100ML,2
AQUAZIDE 12.5MG      10 S,4
ARBIVIT 3 FORTE DROP 15ML,1
ARGIPRIME POW.  (SACH) 1 S,6
ARKAMIN TAB  30 S,5
ASCORIL-LS  DROPS  15ml,1
ASCORIL-LS  SYP    100ML,4
ASOMEX-TM 5mg  TAB  10 SA,1
ASTHALIN SYP        100ML,1
ASTROGERD SR TAB,1
ATARAX 10MG TAB  15 S,4
ATARAX 25MG TAB      15 S,3
ATARAX SYP         100ML,3
ATEN 25MG TAB    14 S,2
ATIVAN 1MG TAB 30 S,3
ATIVAN 2MG TAB,5
ATOCOR-10 TAB,1
ATOCOR-F TAB,2
ATORMAC CV 10 TAB  10 SF,6
ATORMAC CV 20 CAP 10 SF,1
ATORMAC TG TAB       10 SA,4
ATORVA  80 MG TAB  10 SF,1
ATORVA 20 TAB,2
ATORVA-10MG TAB,3
ATROLET 10 MG TAB    20 S,4
AUGMENTIN 375 TAB,1
AUGMENTIN DUO SYP 30ML,1
AUGMENTIN I.V      1.2GMS,36
AUGMENTIN-1000mg DUO TAB  10 S,1
AUGMENTIN-625 DUO TAB 10 S,2
AUGXETIL 500 TAB,1
AUTRIN CAP           30 S,4
AUTRIN XT CAP,1
AVAS-10 TAB,1
AVOMINE TAB       10 S,1
AZIBIZ-500 TAB,1
AZIWOK-500MG  TAB  5 S,1
AZOM 500 TAB,1
AZOVAS-8 TAB 10 S,4
AZTOR-10 TAB 15 S,8
AZTOR-ASP 75  CAP   10 SF,3
AZULIX 2MF TAB 15 S,2
AZULIX 3 MF TAB 10 S,1
AZULIX-2 TAB   10 SBW,6
AZULIX-4MF TAB,3
B. PROTIN CHOCOLATE 500GM,2
BABY MASSAGE OIL 200ML,1
BAND-AID WASHPROOF,50
BANDAGE (ROLLER)  2,36
BANDY  SYP         10ML,3
BDFIX 200MG  10S,5
BECLOSOFT CREAM 20GM,1
BECOSULES CAP     20 S,10
BECOSULES SYP       120ML,1
BECOSULES Z CAP,1
BENADON 40  TAB      10 S,1
BETACAP-TR 40mg  CAP 10 S,1
BETADINE   LOTION     100ML,5
BETADINE GARGLE      50ML,1
BETADINE GARGLE     100ML,5
BETADINE OINT 20GM,2
BETHADOXIN SG CA CAP 10 S,1
BETNESOL FORTE TAB   20 S,2
BETONIN AST  SYP   400ML,3
BETT INJ         0.5ML,1
BEVON  SYP  200ML,4
BEVON CAP 15 S,2
BEVON DROP           15ML,1
BIFILAC  CAP      10 SF,2
BIFILAC  SACHETS  3 S,6
BIFILAC GG SACH.,3
BILASHINE-40 TAB,2
BIO D3 MAX TAB,2
BIODOXI LB CAP,2
BIONAC-SP TAB,5
BISOHEART 5 MG TAB 10 S,2
BONESTAT FRAC,1
BONEVA PRO TAB,2
BOROLINE CREAM       21GM,3
BRAVITIM ZL SYP 200ML,1
BROMEZER TAB 10 S,1
BRUFEN 400MG TAB     15 S,1
BRUPAL KID TAB       10 S,1
BRUTAFLAM-90 TAB,1
BRUTAFLAM-MR4 TAB,1
BUDAMATE-200-TRANSHALER,1
BUDECORT 0.5MG RESPULES,5
BUDECORT-100  INHALER  1 S,1
BUDECORT-200  INHALER,1
BUDETROL-200 R/C       30CAP,1
BULARID L 40 TAB,1
BUPRON SR 150 TAB 10 S,4
BYZYME TAB,1
CACITATE PLUS TAB,4
CADBIOS  TAB  10S,1
CAFRAGIN  TAB        10 S,3
CAFTA EYE DROP 5ML,1
CALCIDEF TAB,6
CALCIMAX D 1000 TAB 30 S,5
CALCIMAX-FORTE TAB  30 S,5
CALCIMAX-P   SYP   200ML,1
CALCIROL SACHET       1GM,1
CALDIKIND-PLUS  CAP   10 S,2
CALOCAL D3 TAB,1
CALPOL    DROP       15ML,2
CALPOL 120mg SUSP 60mL,1
CALPOL 500  TAB  15 S,1
CALPOL 650  TAB   15 S,18
CALVOLI TAB,1
CANDID B CREAM     10GM,3
