Item Name,Quantity
A TO Z  NS DROPS       15ML,2
A TO Z GOLD TAB 15 S,2
A TO Z GOLD TAB 30 S,1
A TO Z IMMUNE TAB,2
A TO Z NS SYP 200ML,2
AB-FLO N 10MG TAB 10 S,2
ACC-SURE STRIPS 25 S,1
ACCU-CHEK ACTIVE STRIP 50 S,1
ACECLOREN TAB        10 S,2
ACENAC-P TAB     10 SBOX,2
ACILOC 150 TAB    30 S,1
ACILOC RD TAB,3
ACIVIR-400 DT    5 SBW,2
ACNICIN GEL         15GM,2
ACOGUT 300 ER TAB,3
ACOGUT TAB,1
ACTAPRO 100MG TAB,1
ACTAPRO OD TAB,1
AD  OIL         340ML,1
ADICAIN GEL 170ML,1
ADIRAB-20 TAB,1
ADIRAB-DSR CAP,17
ADMENTA-5  TAB   10 SB,4
ADMOL JUNIOR TAB     10 S,1
AEROCORT ROTACAPS  30 S,1
ALDACTONE-25mgTAB 15 SR,5
ALDACTONE-50 TAB   15 S,4
ALDAY TAB            10 S,1
ALDO-AT 50  TAB     10 S,3
ALDOSMIN 500 TAB,1
ALEX  LOZENGES***,1
ALEX SYP 100ML***,3
ALEX SYSP(SUGER FREE) 100ML,3
ALKASOL  SYP    200ML,1
ALKASOL SYP   100ML,2
ALL 9-D  CAP    10 SBB,1
ALL LIV 10 SYP 200ML,3
ALL-9 TAB,1
ALLEGRA  120MG  TAB   10 S,4
ALLEGRA-M   TAB   10 SBOX,3
ALOJA M TAB 1PH,1
ALPRAX 0.5MG TAB     15 S,3
ALTONIL PLUS 5 TAB,1
ALTRADAY  CAP         10 SF,2
ALVIROZ TRIO CAP 10 S,1
ALZOLAM 0.25MG TAB   10 S,3
ALZOLAM 0.5 MG TAB   10 S,11
AMARTIZA CD3 TAB,4
AMARYL M 2MG TAB 15 S,2
AMARYL M1 TAB,2
AMARYL M2 TAB,1
AMARYL MV1 TAB 15 S,5
AMARYL MV2 TAB,2
AMBIZYME TAB,1
AMBRODIL S SYP 100ML,14
AMBRODIL SYRUP      100ML,1
AMBRODIL-LX DROP,1
AMBROLITE   SYP    100ML,7
AMBROLITE-2S  SYP   100ML,1
AMBROLITE-LEVO  SYP 100ML,2
AMBROLITE-S LIQ  100ML,6
AMIFRU 40MG TAB      10 S,2
AMINOFIT CAP 15 S,1
AMITRYN-25 TAB,1
AMLIP-5 TAB,6
AMLODAC 10 TAB 30 S,3
AMLODAC 2.5 MG TAB 30 S,1
AMLODAC 5 TAB 30 S,2
AMLODAC-5MG TAB  15 S,1
AMLOKIND 5 TAB,6
AMLOKIND- 2.5 TAB 30 S,2
AMLOKIND-10  TAB   10 SA,2
AMLOKIND-AT TAB,3
AMLONA-5 TAB,5
AMLONG-A  TAB  15 SF,2
