Item Name,Quantity
A TO Z NS TAB 15 S,8
A TO Z NS DROPS 15ML,1
A TO Z WOMEN CAP 15 S,1
AB GAUZE 90CM.,12
ABZORB BAR 75GM,1
ACE-PROXYVON TAB 10 SA,1
ACENAC-P TAB 10 SBOX,2
ACILOC RD TAB 30 SBOX,5
ACNE UV GEL 60GM,1
ACNE-OC MOISTURIZER 75GM,1
ACNICIN GEL 15GM,4
ACTIS C2 TAB 10 S,3
ADMOL 650 TAB 10 S,2
ADP-2.5 TAB,1
ADP-5 TAB 15 SF,3
ADVASTAT CV 10 TAB,5
ADVASTAT-10 TAB 10 S,3
AEROCORT INHALLER(CFC FREE)200,2
AEROLIFE SPACER 1 S,1
AF 200 TAB 1 SBB,5
AF-150 TAB 1 S,6
ALASPAN TAB 10 SBW,1
ALCROS 100 TAB,2
ALDACTONE-25mgTAB 15 SR,5
ALDACTONE-50 TAB 15 S,2
ALDO-10 TAB,1
ALDO-AT 50 TAB 10 S,2
ALEX SYP 100ML***,4
ALKASOL SYP 200ML,5
ALKASOL SYP 100ML,2
ALLEGIX ANTI-ITCH LOTION 100ML,1
ALLEGRA-M TAB 10 SBOX,2
ALTHROCIN 500MG TAB 10 S,1
ALTONIL-3 TAB,1
ALTRADAY CAP 10 SF,1
ALZOLAM 0.25MG TAB 10 S,8
ALZOLAM 0.5 MG TAB 10 S,8
AMARYL 3 TAB 30 S,2
AMARYL M 2MG TAB 15 S,1
AMARYL M FORTE (M) 2MG 15 S,1
AMARYL M FORTE 1MG TAB 15 S,2
AMARYL M1 TAB,4
AMARYL M2 TAB,2
AMARYL MV1 TAB 15 S,2
AMARYL MV2 TAB,2
AMBRODIL S SYP 100ML,18
AMBRODIL SYRUP 100ML,1
AMBROLITE SYP 100ML,4
AMBROLITE-LEVO SYP 100ML,2
AMBROLITE-S LIQ 100ML,2
AMCHEK-Z TAB 10 SBY,1
AMINOFIT CAP 15 S,3
AMITONE PLUS TAB 10 S,1
AMITRYN 25MG TAB 10 S,5
AMITRYN-10MG TAB 10 SBB,1
AMITRYN-25 TAB,2
AMLIP-5 TAB,6
AMLODAC 10 TAB 30 S,2
AMLODAC 5 TAB 30 S,1
AMLOKIND - L TAB 10 S,6
AMLOKIND- 2.5 TAB 30 S,4
AMLOKIND- AT TAB 10 S,1
AMLOKIND- H TAB 10 S,3
AMLOKIND-5 TAB 10 S,11
AMLOPIN -AT TAB 10 SF,2
AMLOVAS 5MG TAB 15 S,4
AMLOVAS-H TAB 15 SA,2
AMLOVAS-M 5/50 TAB 10 SBOX,1
AMOXYCLAV-625 TAB,1
AMPOXIN CV 625 TAB,1
AMTAS-5 TAB 30 S,1
AMYCORDIAL SYP 200ML,1
ANGISPAN TR 2.5 25 S,1
ANO METROGYL CREAM 20GM,1
ANUF-250 TAB 10 S,1
ANXIT 0.25 TAB 15 S,1
AQUAZIDE 12.5MG 10 S,4
ARGIPRIME POW. (SACH) 1 S,10
ARIP MT2 TAB,1
ARKAMIN TAB 30 S,5
ARPIZOL-2 TAB,1
ASCORIL + EXP 100ML,2
ASCORIL EXPT 120ML,1
ASCORIL SF SYP 100ML,1
ASCORIL-D SYP 100ML,3
ASCORIL-LS SYP 100ML,5
ASOMEX-5 TAB 15 S,4
ASTHALIN INHALER 200METER,1
ASTHALIN SYP 100ML,1
ASTROGERD SR TAB,1
ATARAX 10MG TAB 15 S,9
ATARAX 25MG TAB 15 S,1
ATARAX ANTI-ITCH. LOTION 100ML,1
ATCHOL-10 TAB 10 SF,3
ATEN 25MG TAB 14 S,2
ATIVAN 1MG TAB 30 S,5
ATIVAN 2MG TAB,6
ATOCOR-10 TAB,1
ATOGLA CREAM 100GM,1
ATOREC-F TAB 10 SA,1
ATORFIT CV 20 TAB,2
ATORLIP-10MG TAB 15 SA,1
ATORLIP-40 TAB 10 SA,1
ATORMAC CV 10 TAB 10 SF,5
ATORMAC CV 20 CAP 10 SF,3
ATORVA 40MG TAB 10 SF,2
ATORVA 20 TAB,4
ATORVA-10MG TAB,5
ATROLET 10 MG TAB 20 S,2
AUGMENTIN-625 DUO TAB 10 S,9
AUGXETIL 500 TAB,1
AUTRIN CAP 30 S,2
AXZE SYP 100ML,2
AZEFLO NASAL SPRAY 7ML,1
AZIBACT 500 TAB,1
AZICARE-500 TAB,9
AZILIDE-500 TAB,4
AZIWOK-500MG TAB 5 S,1
AZKAVIT TAB,2
AZORAN-50mg TAB 10 SBY,1
AZTOR-10 TAB 15 S,9
AZTOR-5 TAB,1
AZULIX 1MG MF FORTE TAB 15 S,2
AZULIX-2 TAB 10 SBW,8
B-BACT OINT 5G,1
B-FIT CD TAB 10 S,9
B-VITA L SYP 200ML,2
B. PROTIN CHOCOLATE 500GM,5
BABY POWDER 200GM,2
BAND-AID PLAIN 1 S,6
BANDAGE (ROLLER) 4,35
BDFIX 200MG 10S,1
BECLOMIN LOTION 15ML,1
BECOSULES CAP 20 S,5
BECOSULES PLUS CAP,1
BECOSULES Z CAP,2
BECOZINC CAP,1
BECOZYME C FORTE TAB 15 S,4
BEFACID GEL 200ML,1
BENADON 40 TAB 10 S,1
BENFOMET FORTE TAB 10 S,1
BENFOMET PLUS TAB 10 SF,4
BENZAC AC 2.5% 20GM,1
BERITOL TAB,1
BETACAP PLUS 10 10 SF,3
BETACAP PLUS 5 10 S,1
BETACAP-TR 40mg CAP 10 S,1
BETADINE LOTION 100ML,4
BETADINE GARGLE 50ML,2
BETADINE GARGLE 100ML,7
BETADINE OINT 20GM,3
BETAKIND GARGLE 50ML,1
BETAVERT 8 MG TAB 10 S,2
BETNESOL TAB 20 S,1
BETONIN AST SYP 400ML,2
BETT INJ 0.5ML,2
BEVON SYP 200ML,2
BEVON CAP 15 S,7
BEVON-CD CAP 10 SBB,6
BIFILAC CAP 10 SF,1
BIFILAC SACHETS 3 S,15
BIFILAC-GG SACHETS,3
BIFILAC-HP CAP 10 SF,2
BILANIX 20MG TAB,1
BILASURE-20 TAB,1
BIO D3 FEM CAP,1
BIO D3 XT TAB,4
BIO-D3 PLUS CAP 15 SBW,1
BIONAC-SP TAB,10
BISOHEART 5 MG TAB 10 S,3
BON DK 60K CAP 4 S BOX,1
BONEVA PRO TAB,1
BOROLINE CONT 40GM 1 S,3
BOROLINE CREAM 21GM,2
BPGARD-H12.5 TAB,1
BRANOLIA SYP 200ML,1
BRISTA INTENSE CREAM 20GM,1
BRITZILAM 25 TAB,2
BRUFEN 400MG TAB 15 S,1
BRUFEN 600MG TAB 15 S,1
BRUTAFLAM-90 TAB,1
BRUTAFLAM-MR4 TAB,1
BUDAMATE-200 TRANSCAP 30 S,1
BUDAMATE-200-TRANSHALER,2
BUDAMATE-400 TRANSCAPS,1
BUDAMATE-400 TRANSHALERPH,1
BUDAMATE-FORTE R C 30 S,1
BUDECORT 0.5MG RESPULES,5
BUDECORT-100 INHALER 1 S,1
BUPRON SR 150 TAB 10 S,3
BYLOZA-20 TAB,1
C TAX O XL 200 TAB 10 SF,1
C-CURE TAB,4
CAFRAGIN TAB 10 S,2
CAFTA EYE DROP 5ML,1
CAL-123 TAB 15 S BOX,3
CALCIDEF TAB,4
CALCIMAX-FORTE TAB 30 S,2
CALCINEW TAB 1PH,1
CALDUX-CT TAB,3
CALONAT-D3 TAB 15 SBOX,1
CALPOL 120mg SUSP 60mL,1
CALPOL 500 TAB 15 S,7
CALPOL 650 TAB 15 S,15
CALPOL- T TAB 15 S,2
CANDID B CREAM 10GM,3
CANDID CL CAP 3 S,1
CANDID EAR DROP 10ML,1
CANDID MOUTH PAINT 25 ML,1
CANDID POWDER 100GM,2
CANDID SOAP 125GM,1
CANDID TOTAL CREAM 20GM,1
CANDIDERMA+ CREAM 20 GM,2
CANDITRAL SB 50MG TAB,1
CANDITRAL-100 CAP,5
CANESTEN CREAM 30GM,1
CARDACE 5 TAB,4
CARDIVAS IN 12.5 + 5 TAB,6
CARMOZYME SYP 450ML,3
CARTIGEN-FORTE TAB 10 BOX,3
CARVIDON MR TAB,2
CC 74 TAB,1
CCM 30 TAB 30 S,1
CCQ25 TAB 10 SA,1
CEDRIN-GM TAB,13
CEFAKIND- CV 500 10 SF,3
CEFI 50 DRY SYP 30ML,1
CEFOCLOX TAB XL 10 S,1
CEFOCLOX-XL 200 CAP 10 SF,1
CEFOXIM 500 TAB 10 SF,3
CEFOZYT CV TAB 10 SF,1
CEFTAS-200 TAB 10 S,2
CEHAM-P TAB,1
CELIN 500MG TAB 25 S,3
CELOL MAX CAP,1
CELOL XT PLUS TAB,2
CELONG TAB,1
CENSPRAM 10 TAB 10 S,1
CEPODEM XP 325 10 S BOX,4
CEPODEM-200mg TAB 10 SF,3
CEREGROW BIB 300GM,1
CERELAC S-2(RICE-VEG) 300GM,1
CERELAC S-4(M/GR.5 FRUTS),1
CETAPHIL GENT. SKIN LOTION 250,1
CETAPIN XR 500 TAB,2
CETZINE TAB,4
CHEERIO T. PASTE 75GM,1
CHERI CAPS (NEW) 10 S,3
CHERICOF SYP(L) 100ML,3
CHERICOF-LS SYP 100ML,2
CHLOROCOL-H EYE OINT 3GM,1
CHYMORAL FORTE 20 S,8
CHYMORAL-AP TAB 10 SN,3
CHYMORAL-BR TAB 10 SBM,1
CIDMUS 50MG TAB,4
CIFRAN CT TAB,1
CIFRAN-500mg TAB 10 S,1
CIFRAN-OZ TAB 10 S,1
CILACAR 10 TAB,1
CILACAR C 6.25MG,2
CILACAR T 80 TAB 10 S,3
CILACAR TC 6.25 10 S,12
CILACAR-20MG 10 S,8
CILACAR-5 TAB 10 S,6
CILACAR-T TAB 10 SBOX,5
CILAPAM FN TAB,2
CILAPAM-5 TAB,1
CILENTRA 5MG 10 SBW,1
CILNY 10MG TAB,1
CIMUNE TAB,1
CINEMAX TAB,3
CINTAPRO 10 S,2
CIPLOX EYE/EAR DROPS 5ML,1
CITAL SYP 100ML,1
CITRAVITE XT TAB,1
CIZASPA X TAB,2
CLAMIST TAB 10 S,1
CLASICAL PLUS CAP,1
CLAVAM BID DRY SYP 30ML,1
CLAVAM FORTE DRY SYP 30ML,1
CLAVAM-XR TAB 10 S,1
CLAVILIP 10 TAB,1
CLAVILIP-20 TAB,1
CLAVIX GOLD 20 TAB,2
CLAVY 625 TAB 10 S,3
CLEAR GEL NICO GEL 20GM,1
CLONATE OINT 30GM,1
CLONAX MD 1 TAB 10 S,3
CLONOTRIL-0.25 MG TAB,1
CLOP-G CREAM 25GM,4
CLOPILET TAB 15 SF,2
CLOPILET A 75 TAB***,5
CLOPITAB 75MG TAB 15 S,1
CLOPITAB- A 75 15 SF,1
CLOPITAB-A 75MG 15 SB,2
CLOPITORVA-10mg CAP 10 SF,1
CLOPIVAS-75 TAB 15 SF,2
CLOTRIWAL CREAM 15GM,1
COBADEX-CZS TAB 15 S,2
CODESOFT CAP 10 SBG,1
COECORTT-6 TAB,4
COLICAID DROP 30ML,1
COLIMEX TAB 10 S,1
COLIZA D SYP 30ML,2
COMBIFLAM TAB. 20 S,3
COMBIMIST L RESPIC CAP***,4
COMBINASE AQ NASAL SPRAY 7ML,1
CONAZEX-100 CAP,4
CONCOR 5MG TAB 10 S,3
CONCOR-COR 1.25 10 SB,3
CONCOR-COR 2.5MG 10 S,12
CONSTINA GRAN 1 S,1
CONTIPRESS-30 TAB,3
COOLORA M/W 100ML,1
COR-3 TAB 15 S,1
CORALIUM-D3 TAB 10 SBOX,5
CORCAL D 400 TAB 10 S,9
CORCIUM PLUS CAP 10 S,4
CORCIUM D3 TAB,1
CORECTIA M TAB,1
CORIMINIC DROP15ML,4
CORIMINIC LS SYP 100ML,1
CORIMINIC SYP 60ML,2
CORSYL SYP 100ML,9
CORTYLIV SYP 60ML,1
COSLYTE POWDER 21.7GM,2
COSVATE GM CREAM 20 GM,3
COTTON (BENGAL) 25GM,1
COVANCE-AT TAB 10 SBB,3
COVERSYL 2MG TAB 10 S,2
CRINA NCR 15MG TAB 5 S,2
CRIXAN GRANULE 30 S,1
CRIZ-M SYP 60ML,2
CROCIN SYP 60ML,1
CROCIN DROP 15ML,2
CTD T 12.5/80 TAB,3
CTD-6.25 TAB 15 S,2
CTD-T 6.25/40 TAB 10 SBOX,1
CTD-T 6.25/80 TAB 10 SA,23
CTD-T-AM 6.25/80/5 TAB,1
CURENZ TAB,2
CUTISOFT CREAM TUBE,1
CYFOLAC CAP 10 SBB,2
CYPON SYP 200ML,2
CYPON DROPS 15ML,1
CYRA TAB 10 S,7
CYRA 40MG TAB 10 S,4
CYRA-D CAP 10 SF,9
CYSTONE FORTE TAB 30 S,1
CYTOLOG-200MG 4 SA,3
D-BOSE 0.3 TAB,2
D-PROTIN (CHOCO) 500GM,1
D-RISE 2000 TAB 10 SB,4
D-RISE 60K CAP 4 SBOX,1
D-ROZAVEL 10MG TAB,1
D-VENIZ 50MG TAB 10 SBW,1
DAKSON ORL SYP 200ML,1
DALACIN-C 300mg CAP10 S,9
DAPLO-5 TAB,2
DART TAB 10 S,2
DAXID-100 TAB,2
DAZIT-5 TAB,17
DECDAN 0.5MG TAB 10 S,3
DECOLIC TAB 10 S,2
DEFCORT 12MG TAB 6 S,4
DEPAXIL-CR 12.5 10TAB,1
DEPLATT-75mg TAB 15 S BOX,1
DEPLATT-CV CAP 10 SA,1
DEPRANEX-5 TAB,1
DEPURA 60K SF 5ML,5
DEPURA CAL 10,3
DERIPHYLLIN BM EXP 120ML,1
DERIPHYLLIN INJ. 2ML,1
DERIPHYLLIN RTD 150 30 BW,2
DERIVA CMS GEL 15GM,1
DERIVENT PEAD SYP 100ML,1
DERMADEW ALOE CREAM 50GM,1
DERMOLIN GM CREAM 10GM,1
DESVAL-ER 250 TAB,1
DESVAL-ER 500 10 SBW,2
DEVIRY 10MG TAB 10 S,1
DEXONA TAB,1
DEXORANGE CAP,1
DEXORANGE + SYP 200ML,4
DEXORANGE SYP 200ML,2
DIAMICRON XR 60 TAB 14 S,4
DIANORM-M TAB,1
DIATAAL-D CAP,1
DIAVIT -PLUS CAP 10 SBB,3
DICALIS TAB,4
DICLOGESIC TAB 10 SBW,21
DICLOMOL TAB 10 S,1
DICLORAN A TAB 10 S,1
DICLOWIN PLUS TAB,1
DICONAL-S NASAL DROP 15ML,1
DICSAL GEL 30GM,1
DIGENE (MINT) TAB 15 S,9
DIGENE GEL (O) 200ML,1
DIGENE MINT TAB 15 S,3
DIGIPEN TAB,1
DILZEM CD 120MG CAP 10 SA,3
DILZEM SR TAB,1
DILZEM-SR 90MG TAB,3
DIOF DS SYP 60ML,2
DIOVOL FORTE LA SYP 170ML***,2
DIOVOL FORTE SYP(MINT)SF 170ML,2
DIPRATE OD-250 TAB,2
DIPROBATE - G PLUS CREAM 30GM,2
DISPOVAN SYRINGE 2ML,23
DISPOVAN SYRINGE 5ML,10
DISPOVAN SYRINGE 10ML,4
DISPRIN TAB 10 S,1
DIVAA-OD 500 TAB 10 SF,2
DIZIRON-25 TAB,1
DK GEL 30GM,1
DK GEL DUSTING POWDER 100GM,1
DNS INJ 500ML (SALAINE),1
DOLO-650mg TAB 15 SBN,2
DOLONEX INJ 2ML,2
DOLOPAR TAB 10 S,2
DOMPAN TAB 10 SF,1
DOMPAN-FORTE TAB 10 SF,4
DOMPAN-SR TAB 10 SF,1
DOMSTAL 10 DT TAB,3
DOMSTAL 10 TAB 10 S,4
DOMSTAL DT 10MG TAB,2
DOMSTAL DT 5 TAB,1
DONAMEM-10 TABS 10 S,4
DONAMEM-5 TAB 10 SBOX,3
DONEP 5MG TAB 15 S,2
DORFREE MR 8 TAB,1
DORZOX EYE DROP 5ML,3
DOXINATE TAB 30 S,2
DOXIRICH-LB TAB,4
DOXOVENT 400MG TAB 10 S,4
DOXT-SL CAP 10 SF,18
DOZOLAMIDE T EYE DROP 5ML,1
DREP WAX EAR DROP 10ML,1
DRESIN GARGEL 100ML,1
DROLIC 80 TAB 10 S,1
DROTIN SYP 100ml.,1
DROTIN DS TAB 15 S,9
DROTIN INJ 2ML 1 S,2
DROTIN-PLUS TAB 10 SBY,4
DUB-5 TAB 10 S BOX,5
DUKAST L TAB,1
DULANE - 30 CAP 10 SB,2
DULANE-M 20 CAP 10 SB/R,1
DULOREN-20 TAB,2
DUOLIN 3 RESPULES 3ML,25
DUOLIN CFC FREE INHALER 200MD,3
DUONASE N/SPRAY 1 S,1
DUPHASTON 10mg TAB 10 S,3
DUVADILAN TAB 50 S,1
DUZELA-20 CAP 10 SB,14
DV 2K CAP 10 S,2
DV 400 SYP 30ML,1
DV 60K CAP,2
DVN 80 TAB,2
DYDROBOON 10 TAB,1
DYNAGLIPT TAB 10 S,3
DYSMEN TAB 10 SBY,1
DYTOR-10MG TAB 15 SB,2
DYTOR-20 TAB 15 SBW,1
DYTOR-5 TAB 15 SBW,5
E-DICLO GEL 30GM,1
E-PANTO 40 TAB,27
E-PRIME 1000 CAP,7
EASUM FOOD 400GM,3
EBERNET M CREAM 15GM,1
EBERWIN CREAM 30GM,1
ECOD PLUS CAP 15 S,2
ECONORM CAP 5 SA,6
ECOSPRIN 150MG TAB 14 S,2
ECOSPRIN 75MG TAB 14 S,5
ECOSPRIN-AV 75 CAP 15 S,26
ECOSPRIN-AV 75/20 CAP 10 SF,11
ECOSPRIN-GOLD 20 TAB 15 S,3
ECOSPRIN-GOLD 10 TAB 15 S,1
EFATOP PE CREAM 60 GM,1
EFNOCAR-40 TAB 10 S,4
EKRAN SOFT SILICON GEL 50GM,1
ELECTRAL GRANULES 21.8GM,4
ELIWEL 10MG TAB 10 SF,4
ELIWEL 25 TAB 10 SF,8
ELOCON OINTMENT 10GM,1
ELOVERA CREAM 75GM,1
ELTROXIN 25MG 120 S,4
ELTROXIN 50MG 100 S,2
EMBETA XR-25 TAB,2
EMESTAT OD TAB,4
EMTY SOLUTION 200ML,2
ENCARMIN SYP 200ML,1
ENCELIN M 50/1000 TAB,1
ENCELIN M 50/500 TAB,3
ENCORATE CHRONO 500 10 S,3
