Item Name,Quantity
3VC CAP 3 S,1
8X SHAMPOO 60ML,1
A TO Z NS TAB 15 S,12
A TO Z GOLD TAB 15 S,8
A TO Z IMMUNE TAB,1
AB PHYLLINE CAP 10 S,1
AB-FLO N 10MG TAB 10 S,2
ABPHYLLINE SR 200 10 S,4
ABSOLUT 3G TAB 10 S,1
ABZORB POWDER 100GM,1
ACE-PROXYVON TAB 10 SA,2
ACENAC-MR TAB 10 SA,1
ACENAC-SP TAB 10 S,1
ACILOC 150 TAB 30 S,1
ACILOC 300 TAB 20 SF,1
ACILOC RD TAB 30 SBOX,4
ACNICIN GEL 15GM,2
ACOGUT TAB,1
ACTIS C2 TAB 10 S,2
ACUDOX LB TAB,3
ADAPLE-C TUBE,1
ADICAIN GEL 170ML,2
ADIRAB-DSR CAP,9
ADMOL 650 TAB 10 S,10
ADP-2.5 TAB,1
ADP-5 TAB 15 SF,3
ADVASTAT CV 10 TAB,2
ADVASTAT-10 TAB 10 S,1
AF-150 TAB 1 S,1
AF-150MG TAB 5 S,1
AFOGLIP M 1000MG TAB 10 S,1
AKURIT 3MG TABS 10 S,6
ALCROS 100 TAB,3
ALDACTONE-25mgTAB 15 SR,2
ALDACTONE-50 TAB 15 S,2
ALDO-2.5MG TAB 10 BOX,6
ALDO-AT 50 TAB 10 S,4
ALEX LOZENGES***,1
ALEX SYSP(SUGER FREE) 100ML,1
ALKASOL SYP 100ML,2
ALKASTON B6 SYP 200ML,1
ALLEGRA 120MG TAB 10 S,2
ALLEGRA 180MG TAB 10 S,1
ALLEGRA SUSP 100ML,1
ALPINE 5 TAB,2
ALPRAX 0.5MG TAB 15 S,1
ALTHROCIN 500MG TAB 10 S,1
ALTONIL PLUS 5 TAB,1
ALTRADAY CAP 10 SF,1
ALVIROZ ASP CAP,1
ALZERO M TAB,1
ALZOLAM 0.25MG TAB 10 S,4
ALZOLAM 0.5 MG TAB 10 S,8
AMARYL 3 TAB 30 S,2
AMARYL M 2MG TAB 15 S,2
AMARYL M FORTE 1MG TAB 15 S,2
AMARYL M1 TAB,1
AMARYL MP 2MG TAB 15 S,1
AMARYL MV2 TAB,2
AMBRODIL S SYP 100ML,17
AMBRODIL SYRUP 100ML,1
AMBROLITE SYP 100ML,12
AMBROLITE-2S SYP 100ML,1
