Item Name,Quantity
A TO Z  NS  TAB       15 S,1
A TO Z GOLD TAB 15 S,4
A TO Z IMMUNE TAB,1
A TO Z NS SYP 200ML,1
AB PHYLLINE CAP   10 S,1
AB-FLO SR TAB 10 S,2
ACE-PROXYVON  TAB   10 SA,2
ACECLOREN TAB        10 S,1
ACENAC-SP TAB 10 S,1
ACILOC 150 TAB    30 S,1
ACILOC 300 TAB   20 SF,4
ACILOC RD TAB,1
ACNE UV GEL 60GM,1
ACNICIN GEL         15GM,2
ACOGUT 300 ER TAB,2
ACOGUT TAB,1
ACULIP- H   TAB       20 SF,2
ADALENE NANO GEL 15GM,1
ADICAIN GEL 170ML,1
ADIRAB-DSR CAP,10
ADMENTA-10   TAB   10 S,3
ADMENTA-5  TAB   10 SB,7
ADP-2.5 TAB,1
ADP-5   TAB     15 SF,2
ADVAN CREAM 10GM,1
ADVASTAT CV 10 TAB,2
ADVITAMIN BABY OIL 340ML,1
AEROCORT ROTACAPS  30 S,1
AF KIT   TAB       4 S  BOX,1
AFOGLIP TAB 10 S,1
AHAGLOW ADVAN.(F/W) 50GM,1
AHAGLOW FACE WASH  100GM,1
ALASPAN  TAB     10 SBW,4
ALDACTONE-25mgTAB 15 SR,1
ALDACTONE-50 TAB   15 S,2
ALDEP-C SR TAB,1
ALDO-2.5MG  TAB  10 BOX,2
ALDOSMIN 500 TAB,2
ALKASOL  SYP    200ML,2
ALKASOL SYP     450ML,1
ALL LIV 10 SYP 200ML,2
ALL-9 BOH TAB,1
ALLEGRA  120MG  TAB   10 S,7
ALLEGRA-M   TAB   10 SBOX,2
ALLERCET PED TAB10 S,2
ALOJA M TAB 1PH,1
ALPRAX 0.5MG TAB     15 S,4
ALTRADAY  CAP         10 SF,1
ALVIROZ TRIO CAP 10 S,3
ALZOLAM 0.25MG TAB   10 S,7
ALZOLAM 0.5 MG TAB   10 S,7
AMARTIZA CD3 TAB,4
AMARYL 3 TAB   30 S,2
AMARYL MV2 TAB,2
AMARYL-1MG TAB 30 SB,2
AMBIZYME TAB,2
AMBRODIL S SYP 100ML,8
AMBROLITE   SYP    100ML,5
AMBROLITE  TAB       10 S,3
AMBROLITE-2S  SYP   100ML,3
AMBROLITE-LEVO  SYP 100ML,1
AMBROLITE-S LIQ  100ML,3
AMBRONAC TABS     10 S,1
AMICIN 500MG INJ.    2ML,2
AMIFRU 40MG TAB      10 S,2
AMINOFIT CAP 15 S,2
AMITRYN C  TAB       10 S,1
AMITRYN-10MG   TAB   10 SBB,1
AMIXIDE   TAB      10 S,2
AMLODAC 10 TAB 30 S,4
AMLODAC 2.5 MG TAB 30 S,1
AMLODAC 5 TAB 30 S,4
AMLOKIND - L TAB     10 S,5
AMLOKIND 5 TAB,6
AMLOKIND- 2.5 TAB 30 S,1
AMLOKIND-10  TAB   10 SA,1
AMLOKIND-AT TAB,10
AMLONA-5 TAB,2
AMLOPIN -AT   TAB    10 SF,2
AMLOSAFE TM 40 TAB,4
AMLOVAS 10MG TAB     15 S,2
AMLOVAS 2.5MG TAB    15 S,2
AMLOVAS-H    TAB   15 SA,4
AMRUTANJAN STRONG  9ML,5
AMTAS-5 TAB 30 S,1
ANGISPAN TR 2.5     25 S,6
ANGISPAN TR 6.5    25 S,1
ANGIZEM CD 90mg CAP 10 SB,4
ANO METROGYL CREAM 20GM,1
ANOBLISS CREAM     30GM,1
ANUF-250 TAB 10 S,3
AQUASOFT LOTION 100ML,2
AQUAZIDE 12.5MG      10 S,4
ARISTOZYME   SYP    200ml,1
ARKAMIN TAB  30 S,3
ARPIZOL-5  TAB   10 SBW,3
ASCORIL-D  SYP    100ML,2
ASCORIL-LS  DROPS  15ml,1
ASCORIL-LS  SYP    100ML,3
ASOMEX-1.25MG TAB  15 S,1
ASTAGOLD  CAP     10 S BOX,1
ASTHAKIND-DX  SYP  100ML,1
ASTHALIN INHALER 200METER,1
ASTROLIN M 75 TAB,1
ASTYMIN-M FORTE TAB 2 X 15 S,1
ATARAX 10MG TAB  15 S,3
ATARAX 25MG TAB      15 S,1
ATARAX DROP          15ML,1
ATARAX SYP         100ML,2
ATEN 25MG TAB    14 S,3
ATIVAN 1MG TAB 30 S,3
ATIVAN 2MG TAB,8
ATOCOR-10 TAB,2
ATORMAC CV 10 TAB  10 SF,3
ATORMAC TG TAB       10 SA,2
ATORVA  80 MG TAB  10 SF,2
ATORVA 20 TAB,3
ATORVA-10MG TAB,3
ATROLET 10 MG TAB    20 S,2
AUGMENTIN DUO SYP 30ML,1
AUGMENTIN-1000mg DUO TAB  10 S,1
AUGMENTIN-625 DUO TAB 10 S,7
AUTOLIYSE ONIT 15GM,1
AUTRIN CAP           30 S,2
AVAMYS NASAL SPRAY  1 S,1
AVIL 50MG   TAB     15 S,2
AZEE 500MG TAB,1
AZIBACT-100 SYP      15ML,1
AZIBIZ-500 TAB,4
