Item Name,Quantity
A TO Z NS TAB 15 S,6
A TO Z GOLD TAB 15 S,3
A TO Z NS SYP 200ML,3
AB PHYLLINE N TAB 10 S,1
ABPHYLLINE SR 200 10 S,1
ACENAC-P TAB 10 SBOX,2
ACILOC 150 TAB 30 S,1
ACILOC RD TAB,3
ACIVIR-400 DT 5 SBW,4
ACNICIN GEL 15GM,2
ACTIS C2 TAB 10 S,2
ACULIP- H TAB 20 SF,1
ADALENE NANO GEL 15GM,1
ADICAIN GEL 170ML,5
ADIRAB-DSR CAP,20
ADP-2.5 TAB,1
ADP-5 TAB 15 SF,4
ADP-H TAB 15 S,1
ADVAN ONT. 10GM,1
AEROCORT INHALLER(CFC FREE)200,1
AERODIL EXPT. 100ML,2
AF-150 TAB 1 S,2
AHAGLOW FACE WASH 100GM,2
AKURIT 4MG TAB 10 S,4
ALDACTONE-50 TAB 15 S,2
ALDEP 10 TAB,1
ALDO-2.5MG TAB 10 BOX,3
ALDO-AT 50 TAB 10 S,4
ALDOSMIN 500 TAB,2
ALEX JUNIOR SYP 60ML,1
ALKASOL SYP 200ML,4
ALKASOL SYP 450ML,1
ALKASOL SYP 100ML,1
ALL 9-D CAP 10 SBB,1
ALLEGRA 120MG TAB 10 S,1
ALLEGRA-M TAB 10 SBOX,3
ALPINE 5 TAB,1
ALPRAX 0.25MG TAB 15 S,2
ALTONIL-3 TAB,1
ALTRADAY CAP 10 SF,14
ALVIROZ 10MG TAB 10 S,1
ALVIROZ TRIO CAP 10 S,3
ALZOLAM 0.25MG TAB 10 S,10
ALZOLAM 0.5 MG TAB 10 S,15
AMARTIZA CD3 TAB,2
AMARYL 3 TAB 30 S,2
AMARYL M1 TAB,2
AMARYL M2 TAB,2
AMARYL MV2 TAB,2
AMBRODIL S SYP 100ML,16
AMBROLITE SYP 100ML,5
AMBROLITE-D SYP 100ML,1
AMBROLITE-S LIQ 100ML,3
AMINOFIT CAP 15 S,2
AMITRYN-10MG TAB 10 SBB,1
AMITRYN-25 TAB,1
AMLIP-5 TAB,3
AMLODAC 10 TAB 30 S,2
AMLODAC 5 TAB 30 S,4
AMLODAC-10MG TAB 30 S,1
AMLOKIND - L TAB 10 S,4
AMLOKIND 5 TAB,9
AMLOKIND- 2.5 TAB 30 S,2
AMLOKIND- H TAB 10 S,3
AMLONA-5 TAB,4
AMLONG-A TAB 15 SF,1
AMLOPIN -AT TAB 10 SF,2
AMLOSAFE TM 40 TAB,1
AMLOVAS 5MG TAB 15 S,2
AMLOVAS AT 15 SA,1
AMLOVAS-H TAB 15 SA,2
AMOXYCLAV-625 TAB,3
AMPILOX DS TAB 10 SF,1
AMRUTANJAN STRONG 9ML,1
AMRUTANJAN STRONG 45GM,1
AMTAS-5 TAB 30 S,2
ANAFORTAN TAB 15 SBG,5
ANGISPAN TR 6.5 25 S,1
ANUF-250 TAB 10 S,2
ANXIT 0.25 TAB 15 S,1
APRESOL TAB. 10 SBB,6
AQUAZIDE 12.5MG 10 S,4
ARISTOZYME SYP 200ml,3
ARKAMIN TAB 30 S,7
ARVAST-F10 TAB,1
ASCORIL + EXP 100ML,1
ASCORIL LS JUNIOR SYP 60ML,2
ASCORIL-LS DROPS 15ml,2
ASCORIL-LS SYP 100ML,4
ASTHALIN INHALER 200METER,2
ASTHALIN SYP 100ML,1
ASTROJOINT CAP,1
ASTYMIN FORTE CAP,1
ASTYMIN-M FORTE TAB 2 X 15 S,1
ATARAX 10MG TAB 15 S,13
ATARAX 25MG TAB 15 S,3
ATARAX ANTI-ITCH. LOTION 100ML,1
ATEN 25MG TAB 14 S,1
ATIVAN 1MG TAB 30 S,3
ATIVAN 2MG TAB,5
ATOCOR-10 TAB,2
ATOCOR-F TAB,1
ATONIDE GEL 20GM,1
ATORMAC CV 10 TAB 10 SF,8
ATORMAC CV 20 CAP 10 SF,1
ATORMAC TG TAB 10 SA,3
ATORVA 40MG TAB 10 SF,5
ATORVA 20 TAB,2
ATORVA-10MG TAB,3
ATROLET 10 MG TAB 20 S,4
