Date,Number of Bills,Month
01-04-2021,74,April
02-04-2021,92,April
03-04-2021,58,April
05-04-2021,73,April
06-04-2021,87,April
07-04-2021,73,April
08-04-2021,103,April
09-04-2021,76,April
10-04-2021,61,April
12-04-2021,70,April
13-04-2021,85,April
14-04-2021,63,April
15-04-2021,76,April
16-04-2021,85,April
17-04-2021,82,April
19-04-2021,98,April
20-04-2021,91,April
21-04-2021,65,April
22-04-2021,80,April
23-04-2021,83,April
24-04-2021,80,April
26-04-2021,95,April
27-04-2021,86,April
28-04-2021,80,April
29-04-2021,88,April
30-04-2021,74,April
01-05-2021,88,May
03-05-2021,87,May
04-05-2021,89,May
05-05-2021,65,May
06-05-2021,100,May
07-05-2021,80,May
08-05-2021,83,May
10-05-2021,99,May
11-05-2021,67,May
12-05-2021,83,May
13-05-2021,77,May
14-05-2021,81,May
15-05-2021,71,May
17-05-2021,61,May
18-05-2021,69,May
19-05-2021,66,May
20-05-2021,66,May
21-05-2021,65,May
22-05-2021,50,May
24-05-2021,97,May
25-05-2021,61,May
26-05-2021,17,May
27-05-2021,63,May
28-05-2021,75,May
29-05-2021,74,May
31-05-2021,93,May
01-06-2021,66,June
02-06-2021,78,June
03-06-2021,65,June
04-06-2021,81,June
05-06-2021,80,June
07-06-2021,89,June
08-06-2021,31,June
09-06-2021,62,June
10-06-2021,85,June
11-06-2021,67,June
12-06-2021,80,June
14-06-2021,74,June
15-06-2021,62,June
16-06-2021,69,June
17-06-2021,60,June
18-06-2021,60,June
19-06-2021,62,June
21-06-2021,75,June
22-06-2021,77,June
23-06-2021,70,June
24-06-2021,81,June
25-06-2021,83,June
26-06-2021,81,June
28-06-2021,73,June
29-06-2021,73,June
30-06-2021,59,June
01-07-2021,76,July
02-07-2021,76,July
03-07-2021,86,July
05-07-2021,84,July
06-07-2021,69,July
07-07-2021,77,July
08-07-2021,86,July
09-07-2021,63,July
10-07-2021,80,July
12-07-2021,85,July
13-07-2021,72,July
14-07-2021,79,July
15-07-2021,87,July
16-07-2021,63,July
17-07-2021,86,July
19-07-2021,93,July
20-07-2021,84,July
21-07-2021,55,July
22-07-2021,80,July
23-07-2021,66,July
24-07-2021,93,July
26-07-2021,62,July
27-07-2021,75,July
28-07-2021,77,July
29-07-2021,54,July
30-07-2021,73,July
31-07-2021,63,July
02-08-2021,86,August
03-08-2021,87,August
04-08-2021,69,August
05-08-2021,83,August
06-08-2021,80,August
07-08-2021,80,August
09-08-2021,77,August
10-08-2021,69,August
11-08-2021,87,August
12-08-2021,65,August
13-08-2021,73,August
14-08-2021,76,August
16-08-2021,81,August
17-08-2021,64,August
18-08-2021,60,August
19-08-2021,94,August
20-08-2021,72,August
21-08-2021,72,August
23-08-2021,70,August
24-08-2021,75,August
25-08-2021,68,August
26-08-2021,79,August
27-08-2021,76,August
28-08-2021,78,August
30-08-2021,87,August
31-08-2021,65,August
01-09-2021,86,September
02-09-2021,75,September
03-09-2021,77,September
04-09-2021,74,September
06-09-2021,97,September
07-09-2021,71,September
08-09-2021,90,September
09-09-2021,82,September
10-09-2021,60,September
11-09-2021,66,September
13-09-2021,70,September
14-09-2021,50,September
15-09-2021,88,September
16-09-2021,97,September
17-09-2021,69,September
18-09-2021,57,September
20-09-2021,54,September
21-09-2021,91,September
22-09-2021,60,September
23-09-2021,70,September
24-09-2021,86,September
25-09-2021,82,September
27-09-2021,83,September
28-09-2021,71,September
29-09-2021,66,September
30-09-2021,84,September
01-10-2021,83,October
02-10-2021,85,October
04-10-2021,82,October
05-10-2021,98,October
06-10-2021,67,October
07-10-2021,91,October
08-10-2021,82,October
09-10-2021,77,October
11-10-2021,78,October
12-10-2021,36,October
14-10-2021,45,October
15-10-2021,41,October
16-10-2021,90,October
18-10-2021,49,October
19-10-2021,88,October
20-10-2021,55,October
21-10-2021,80,October
22-10-2021,88,October
23-10-2021,64,October
25-10-2021,89,October
26-10-2021,94,October
27-10-2021,59,October
28-10-2021,96,October
29-10-2021,81,October
30-10-2021,72,October
01-11-2021,95,November
02-11-2021,77,November
03-11-2021,75,November
04-11-2021,39,November
05-11-2021,79,November
06-11-2021,82,November
08-11-2021,85,November
09-11-2021,69,November
10-11-2021,64,November
11-11-2021,91,November
12-11-2021,78,November
13-11-2021,27,November
15-11-2021,85,November
16-11-2021,54,November
17-11-2021,30,November
18-11-2021,86,November
19-11-2021,93,November
20-11-2021,75,November
22-11-2021,81,November
23-11-2021,85,November
24-11-2021,74,November
25-11-2021,77,November
26-11-2021,68,November
27-11-2021,72,November
29-11-2021,78,November
30-11-2021,69,November
01-12-2021,70,December
02-12-2021,87,December
03-12-2021,70,December
04-12-2021,75,December
06-12-2021,63,December
07-12-2021,94,December
08-12-2021,78,December
09-12-2021,72,December
10-12-2021,63,December
11-12-2021,76,December
13-12-2021,82,December
14-12-2021,66,December
15-12-2021,63,December
16-12-2021,88,December
17-12-2021,66,December
18-12-2021,59,December
20-12-2021,64,December
21-12-2021,63,December
22-12-2021,71,December
23-12-2021,88,December
24-12-2021,68,December
25-12-2021,66,December
27-12-2021,44,December
28-12-2021,86,December
29-12-2021,63,December
30-12-2021,54,December
31-12-2021,77,December
01-01-2022,61,January
03-01-2022,82,January
04-01-2022,53,January
05-01-2022,76,January
06-01-2022,63,January
07-01-2022,61,January
08-01-2022,72,January
10-01-2022,79,January
11-01-2022,68,January
12-01-2022,90,January
13-01-2022,66,January
14-01-2022,45,January
15-01-2022,77,January
17-01-2022,84,January
18-01-2022,51,January
19-01-2022,58,January
20-01-2022,76,January
21-01-2022,71,January
22-01-2022,71,January
24-01-2022,81,January
25-01-2022,67,January
26-01-2022,59,January
27-01-2022,74,January
28-01-2022,71,January
29-01-2022,67,January
31-01-2022,80,January
01-02-2022,74,February
02-02-2022,77,February
03-02-2022,74,February
04-02-2022,43,February
05-02-2022,64,February
07-02-2022,95,February
08-02-2022,97,February
09-02-2022,82,February
10-02-2022,71,February
11-02-2022,75,February
12-02-2022,78,February
14-02-2022,90,February
15-02-2022,58,February
16-02-2022,86,February
17-02-2022,67,February
18-02-2022,76,February
19-02-2022,85,February
21-02-2022,93,February
22-02-2022,75,February
23-02-2022,74,February
24-02-2022,83,February
25-02-2022,61,February
26-02-2022,79,February
28-02-2022,77,February
01-03-2022,70,March
02-03-2022,86,March
03-03-2022,88,March
04-03-2022,75,March
05-03-2022,93,March
07-03-2022,88,March
08-03-2022,80,March
09-03-2022,71,March
10-03-2022,90,March
11-03-2022,73,March
12-03-2022,73,March
14-03-2022,92,March
15-03-2022,88,March
16-03-2022,78,March
17-03-2022,85,March
18-03-2022,30,March
19-03-2022,67,March
21-03-2022,94,March
22-03-2022,91,March
23-03-2022,81,March
24-03-2022,80,March
25-03-2022,71,March
26-03-2022,66,March
28-03-2022,76,March
29-03-2022,71,March
30-03-2022,66,March
31-03-2022,90,March
