Item Name,Item MRP,Quantity,Expiry Date,Discount Value,GST %,GST Value,Amount,Billing Date
KERASOL-FORT LOTION 15ML,132,1,"January, 2023",13.2,12,12.72,118.8,01-Apr-21
PANTODAC DSR CAP 15 S,238.35,0.333,"October, 2022",7.95,12,7.66,71.5,01-Apr-21
TRIVOLIB FORTE 2MG 10 S,144,1,"September, 2023",14.4,12,13.88,129.6,01-Apr-21
VENTAB DXT 50 10TAB,144,2,"September, 2023",28.8,12,27.78,259.2,01-Apr-21
LIPIKIND-10 TAB,36.9,2,"October, 2022",7.38,12,7.12,66.42,01-Apr-21
TELMIKIND- 40 TAB 10 S,34.67,3,"January, 2022",10.4,12,10.02,93.61,01-Apr-21
ESREDEP PLUS TAB,67.1,2,"January, 2022",13.42,12,12.94,120.78,01-Apr-21
GLYNASE- MF TAB 10 S,16.85,3,"March, 2022",5.06,12,4.88,45.49,01-Apr-21
KLEAN TEARS 5ML,113,1,"January, 2022",11.3,12,10.9,101.7,01-Apr-21
L-PRED DROP 5ML,171.65,1,"June, 2021",17.17,12,16.56,154.48,01-Apr-21
DV 60K CAP,263.7,1,"October, 2022",26.37,12,25.42,237.33,01-Apr-21
VIZYLAC CAP,57.35,1,"January, 2021",5.74,12,5.52,51.61,01-Apr-21
FAMTAC 40MG TAB 14 S,26.48,1,"August, 2022",2.65,12,2.56,23.83,01-Apr-21
LIMCEE TAB 15 S,22.93,1,"March, 2022",2.29,12,2.22,20.64,01-Apr-21
ELOCON CREAM (L) 10GM,230,1,"July, 2022",23,12,22.18,207,01-Apr-21
REFRESH LIQUIGEL 10ML,194.14,1,"April, 2022",19.41,12,18.72,174.73,01-Apr-21
METOSARTAN-25 TAB 10 SF,155.5,1,"September, 2022",15.55,12,15,139.95,01-Apr-21
ROSEDAY-5 TAB 10 SF,62.5,1,"June, 2022",6.25,12,6.02,56.25,01-Apr-21
TELLZY 80AM TAB,335.1,1,"June, 2022",33.51,12,32.32,301.59,01-Apr-21
THROMBOPHOB GEL 20GM,156,1,"January, 2023",15.6,12,15.04,140.4,01-Apr-21
CTD-6.25 TAB 15 S,85.1,1,"October, 2022",8.51,12,8.2,76.59,01-Apr-21
ETOSA-P TAB,63,2,"October, 2022",0,12,13.5,126,01-Apr-21
EVION-400MG CAP 10 S,29.73,2,"March, 2023",0,12,6.38,59.46,01-Apr-21
BROZEET-LS SYP 100ml,104.6,1,"October, 2022",10.46,12,10.08,94.14,01-Apr-21
P-500 TAB 15 S,15.29,0.667,"May, 2023",1.02,12,0.98,9.17,01-Apr-21
TAMDURA CAP 10 SF,262,1,"May, 2022",26.2,12,25.26,235.8,01-Apr-21
JANUMET 50/1000 15 S,390,1,"July, 2022",39,12,37.6,351,01-Apr-21
SALAZAR-DS 10TAB,143.9,1,"July, 2022",14.39,12,13.88,129.51,01-Apr-21
PROXYM ER 300 TAB 10 S,284.4,1,"February, 2023",28.44,12,27.42,255.96,01-Apr-21
TRICIUM PLUS TAB 10 S,247.5,1,"February, 2021",24.75,12,23.86,222.75,01-Apr-21
RISDONE MT-0.5MG TAB 10 SA,26,1,"October, 2022",2.6,12,2.5,23.4,01-Apr-21
TENGLYN M 500MG,174.2,1,"September, 2022",17.42,12,16.8,156.78,01-Apr-21
AMITRYN 25MG TAB 10 S,25.2,3,"September, 2023",7.56,12,7.3,68.04,01-Apr-21
AMBRODIL S SYP 100ML,27.6,2,"May, 2023",5.52,12,5.32,49.68,01-Apr-21
SERON TAB 10 S,45,3,"October, 2023",13.5,12,13.02,121.5,01-Apr-21
DYNAGLIPT TAB 10 S,71.5,1,"August, 2022",7.15,12,6.9,64.35,01-Apr-21
DORSUN T EYE DROP 5ML,195,1,"July, 2022",19.5,12,18.8,175.5,01-Apr-21
WALAMOX CV 625 TAB,118.13,1,"February, 2022",11.81,12,11.4,106.32,01-Apr-21
NAN LO-LAC INFANT,245,2,,19.6,18,71.76,470.4,01-Apr-21
PANZEL-DSR,95,0.6,"March, 2022",5.7,12,5.5,51.3,01-Apr-21
CORSYL SYP 100ML,76,1,"October, 2022",7.6,12,7.32,68.4,01-Apr-21
AZICARE-500 TAB,70.02,1,"February, 2022",7,12,6.76,63.02,01-Apr-21
DICLOGESIC TAB 10 SBW,45.8,0.6,"April, 2022",2.75,12,2.64,24.73,01-Apr-21
A TO Z NS DROPS 15ML,54,1,"January, 2021",5.4,18,7.42,48.6,01-Apr-21
NASOCLEAR NASAL DROP 20 ML,46.2,1,"October, 2023",4.62,12,4.46,41.58,01-Apr-21
ATORMAC CV 10 TAB 10 SF,168,1,"July, 2022",16.8,12,16.2,151.2,01-Apr-21
BIFILAC CAP 10 SF,109,1.5,"March, 2022",16.35,12,15.76,147.15,01-Apr-21
ZEDOTT-100MG CAP 10 S,175.65,0.6,"January, 2022",10.54,12,10.16,94.85,01-Apr-21
RANTAC 300 TAB,64.93,2,"May, 2022",0,12,13.92,129.86,01-Apr-21
E-DICLO GEL 30GM,74,2,"February, 2021",0,12,15.86,148,01-Apr-21
EVION-400MG CAP 10 S,29.73,6,"March, 2023",0,12,19.12,178.38,01-Apr-21
PROTEKT CAP 10 S,50,6,"April, 2022",0,12,32.14,300,01-Apr-21
SYNOCID SYP (L) 170ML,70,2,"January, 2021",0,12,15,140,01-Apr-21
DISPOVAN SYRINGE 2ML,4.5,2,"February, 2025",0,0,0,9,01-Apr-21
DERIVENT PEAD SYP 100ML,81,1,"September, 2022",8.1,12,7.82,72.9,01-Apr-21
E-DICLO GEL 30GM,74,1,"February, 2021",0,12,7.92,74,01-Apr-21
E-PANTO 40 TAB,60.5,1.5,"April, 2022",0,12,9.72,90.75,01-Apr-21
MARLINE-E 400 SOFTGEL,95,1.5,"May, 2021",0,18,21.74,142.5,01-Apr-21
ETOSA-P TAB,63,1.5,"October, 2022",0,12,10.12,94.5,01-Apr-21
ONASOLONE-4 TAB,55,1.5,"January, 2022",0,12,8.84,82.5,01-Apr-21
ZENTOP-SYP 200ML,130,1,"February, 2021",0,12,13.92,130,01-Apr-21
LEZYNCET 5MG TAB 10 SBW,77.65,1,"September, 2022",0,12,8.32,77.65,01-Apr-21
LYCAM-P TAB,79,0.4,"October, 2021",0,12,3.38,31.6,01-Apr-21
GESTOFIT- SR 200 TAB 10 S,412,1,"February, 2022",41.2,12,39.72,370.8,01-Apr-21
SYSFOL ACTIVE TAB,131.25,1,"January, 2022",13.13,12,12.66,118.12,01-Apr-21
DIOVOL FORTE LA SYP 170ML***,131.88,1,"June, 2023",13.19,12,12.72,118.69,01-Apr-21
ETOSA-P TAB,63,4.5,"October, 2022",0,12,30.38,283.5,01-Apr-21
ONASOLONE-4 TAB,55,6,"January, 2022",0,12,35.36,330,01-Apr-21
DOXT-SL CAP 10 SF,91.3,1,"January, 2022",9.13,12,8.8,82.17,01-Apr-21
CALPOL 500 TAB 15 S,14.96,0.667,"June, 2023",1,12,0.96,8.97,01-Apr-21
MACBERY LS SYP,90.75,1,"February, 2021",9.07,12,8.76,81.68,01-Apr-21
MONTEK LC TAB 10 SA,179.5,1,"March, 2023",17.95,12,17.3,161.55,01-Apr-21
SCAVISTA-12 TAB,85,5,"August, 2022",42.5,12,40.98,382.5,01-Apr-21
PENTISAN-DSR CAP,95,1,"January, 2021",0,12,10.18,95,01-Apr-21
EVION-400MG CAP 10 S,29.73,3,"March, 2023",0,12,9.56,89.19,01-Apr-21
ADP-2.5 TAB,23.26,1,"January, 2022",2.33,12,2.24,20.93,01-Apr-21
TRIGLUCORED FORTE TAB 10 S,94.5,2,"September, 2023",18.9,12,18.22,170.1,01-Apr-21
DOXT-SL CAP 10 SF,91.3,1.4,"January, 2022",12.78,12,12.32,115.04,01-Apr-21
CALPOL 650 TAB 15 S,30.74,1,"July, 2023",3.07,12,2.96,27.67,01-Apr-21
PANTOCID 40 TAB,159,1,"September, 2023",15.9,12,15.34,143.1,01-Apr-21
SALBAIR TRANSHALER 250,184.8,1,"September, 2022",18.48,12,17.82,166.32,01-Apr-21
MONTEMAC - L TAB 10 SA,123,1,"October, 2023",12.3,12,11.86,110.7,01-Apr-21
NUPENTA-40 TAB 10 SA,45.65,1,"April, 2023",4.57,12,4.4,41.08,01-Apr-21
VOVERAN-SR 100 TAB 15 S,163,0.4,"May, 2023",6.52,12,6.28,58.68,01-Apr-21
DECOLIC DROP 10ML,49.5,1,"July, 2022",4.95,12,4.78,44.55,01-Apr-21
PAN-D CAP 15 S,190,1,"October, 2022",19,12,18.32,171,01-Apr-21
DYTOR-10MG TAB 15 SB,77.19,1,"September, 2023",7.72,12,7.44,69.47,01-Apr-21
VELTAM- PLUS TAB 15 SA,398,1,"January, 2022",39.8,12,38.38,358.2,01-Apr-21
CREMAFIN PLUS LIQ. 225ML,223.75,1,"January, 2023",22.38,12,21.58,201.37,01-Apr-21
SORBITRATE 5MG TAB 50 S,42,0.2,"August, 2023",0.84,12,0.82,7.56,01-Apr-21
ATIVAN 2MG TAB,82.55,1,"August, 2022",8.26,12,7.96,74.29,01-Apr-21
AMBROLITE SYP 100ML,68.5,1,"October, 2022",6.85,12,6.6,61.65,01-Apr-21
ECOSPRIN-AV 75 CAP 15 S,50.15,1,"April, 2022",5.02,12,4.84,45.13,01-Apr-21
BIONAC-SP TAB,95,2,"September, 2022",0,12,20.36,190,01-Apr-21
ONASOLONE-4 TAB,55,2,"January, 2022",0,12,11.78,110,01-Apr-21
P-40 DSR TAB,148,2,"May, 2022",0,12,31.72,296,01-Apr-21
ETOSA-P TAB,63,3,"October, 2022",0,12,20.26,189,01-Apr-21
STAMLO 2.5MG TAB 30 S,55.23,1,"September, 2023",0,12,5.92,55.23,01-Apr-21
TETMOSOL SOAP 100GM,80.8,1,"September, 2022",0,18,12.32,80.8,01-Apr-21
SYNOCID SUSPENSION 170ML,70,1,"January, 2021",0,12,7.5,70,01-Apr-21
RANTAC 300 TAB,64.93,1,"May, 2022",0,12,6.96,64.93,01-Apr-21
E-DICLO GEL 30GM,74,1,"February, 2021",0,12,7.92,74,01-Apr-21
PYRIGESIC-A TAB 10 SBO,46,1,"February, 2022",0,12,4.92,46,01-Apr-21
P2 I- D CAP 10 S,132.3,1,"July, 2022",0,12,14.18,132.3,01-Apr-21
CARTIGEN-FORTE TAB 10 BOX,409,1,"September, 2022",0,18,62.38,409,01-Apr-21
NUPENTA-40 TAB 10 SA,45.65,2,"April, 2023",9.13,12,8.8,82.17,01-Apr-21
RIOMET OD 850MG 10 S,36,1,"August, 2022",3.6,12,3.48,32.4,01-Apr-21
SYNCAPONE-50 10TAB,84,1,"August, 2022",8.4,12,8.1,75.6,01-Apr-21
SUPERIA DSR TAB 10 SF,158,1,"July, 2022",15.8,12,15.24,142.2,01-Apr-21
ZOFER MD 4mg TAB 10 S,52.33,0.6,"August, 2022",3.14,12,3.02,28.26,01-Apr-21
URILISER SYP 100ML,87.49,1,"September, 2022",8.75,12,8.44,78.74,01-Apr-21
AMRUTANJAN STRONG 9ML,38,1,,0,12,4.08,38,01-Apr-21
MOM-PLUS SYP 170ML,110,1,"September, 2022",11,12,10.6,99,01-Apr-21
GERBISA-5MG TAB 10 SBB,11.17,1,"September, 2022",1.12,12,1.08,10.05,01-Apr-21
MACSART AM TAB,51.15,2,"January, 2022",10.23,12,9.86,92.07,01-Apr-21
O2 TAB 10 S,137.25,0.2,"August, 2023",2.75,12,2.64,24.7,01-Apr-21
FAMOCID 40MG TAB 14 S,8,1,"September, 2023",0.8,12,0.78,7.2,01-Apr-21
CETZINE SYP 60ML,38.97,1,"February, 2022",3.9,12,3.76,35.07,01-Apr-21
SHELCAL 500mg TAB 15 S,98.9,1,"June, 2022",9.89,12,9.54,89.01,01-Apr-21
ZERODOL-P TAB 10 SA,54.95,1,"September, 2022",5.5,12,5.3,49.45,01-Apr-21
SOMPRAZ 40 TAB 15 S,127,0.667,"January, 2023",8.47,12,8.16,76.2,01-Apr-21
PREGALIN M 75 CAP 15 SA,253.45,1,"June, 2022",25.35,12,24.44,228.1,01-Apr-21
OLVANCE 20MG 10 S,113,1,"April, 2023",11.3,12,10.9,101.7,01-Apr-21
ROZAVEL 10MG 10 SA,163.5,1,"April, 2023",16.35,12,15.76,147.15,01-Apr-21
OLVANCE AM 40MG TAB 10 S,219,1,"February, 2023",21.9,12,21.12,197.1,01-Apr-21
FEBUSTAT-40MG TAB,223.6,1,"February, 2022",22.36,12,21.56,201.24,01-Apr-21
AZTOR-10 TAB 15 S,91.85,1,"September, 2023",9.19,12,8.86,82.66,01-Apr-21
MIRTAZ- 7.5 MG TAB 10 SBY,85,1,"September, 2022",8.5,12,8.2,76.5,01-Apr-21
KRIMSON-35 21 S,358,1,"March, 2023",35.8,12,34.52,322.2,01-Apr-21
FOLVITE ACTIVE TAB,219.59,1,"May, 2022",21.96,12,21.18,197.63,01-Apr-21
SNAPIT TAB 2 S,95.5,1,"July, 2021",9.55,12,9.2,85.95,01-Apr-21
PROVANOL PLUS 10 10TAB,143,1,"October, 2022",14.3,12,13.78,128.7,01-Apr-21
CILOVAS 10 TAB,85,1,"January, 2021",8.5,12,8.2,76.5,01-Apr-21
ROTIN CV 10 TAB,155,1,"October, 2021",15.5,12,14.94,139.5,01-Apr-21
ATARAX 10MG TAB 15 S,39.6,2,"October, 2023",7.92,12,7.64,71.28,01-Apr-21
FAMONEXT 20 14 S,5.75,2,"May, 2023",1.15,12,1.1,10.35,01-Apr-21
FORACORT 200 INHALER,358.75,1,"February, 2023",35.88,12,34.6,322.87,01-Apr-21
CELIN 500MG TAB 25 S,38.36,1,"July, 2022",3.84,12,3.7,34.52,01-Apr-21
LANTUS SOLOSTER 100IU 3ML,1099.11,1,"June, 2023",109.91,5,47.1,989.2,01-Apr-21
TRAJENTA 5 TAB 10 SA,515,1,"July, 2023",51.5,12,49.66,463.5,01-Apr-21
SGF 500 TAB 1PH,270,1,,0,12,28.92,270,01-Apr-21
PAUSE 500mg TAB 10 SA,181.81,3,"June, 2024",54.54,5,23.38,490.89,01-Apr-21
ZINCONIA 50MG TAB 10 S,55.05,2,"March, 2023",11.01,12,10.62,99.09,01-Apr-21
SOLITEN-5 TAB 10 SBY,320,1,"January, 2022",32,12,30.86,288,01-Apr-21
VOLINI GEL 75GM,230,1,"January, 2022",23,12,22.18,207,01-Apr-21
DOMSTAL 10 TAB 10 S,26.8,2,"March, 2023",5.36,12,5.16,48.24,01-Apr-21
NEXPRO RD 40 CAP 10 SF,148.55,1,"August, 2022",14.86,12,14.32,133.69,01-Apr-21
TORGLIP 50TAB,49,2,"July, 2022",9.8,12,9.44,88.2,01-Apr-21
EFNOCAR-40 TAB 10 S,120,2,"October, 2022",24,12,23.14,216,01-Apr-21
P-120mg SYP 60ML,35.62,1,"January, 2022",3.56,12,3.44,32.06,01-Apr-21
SOLVIN COLD AF 60ML,57.75,1,"July, 2023",5.78,12,5.56,51.97,01-Apr-21
AMBROLITE-LEVO SYP 100ML,89.45,1,"July, 2021",8.95,12,8.62,80.5,01-Apr-21
DUZELA-20 CAP 10 SB,105,1,"May, 2022",10.5,12,10.12,94.5,01-Apr-21
NATRILIX-SR TAB 10 SA,109,2,"June, 2023",21.8,12,21.02,196.2,01-Apr-21
GABANTIN FORTE TAB 10SF,189,2,"September, 2022",37.8,12,36.46,340.2,01-Apr-21
ZERODOL-P TAB 10 SA,54.95,0.4,"September, 2022",2.2,12,2.12,19.78,01-Apr-21
PAUSE 500mg TAB 10 SA,181.81,0.1,"August, 2024",1.82,5,0.78,16.36,01-Apr-21
SPORIDEX 500MG CAP 10 S,177.5,0.5,"June, 2022",8.88,12,8.56,79.87,01-Apr-21
SAZO 500 TAB,66.69,1,"June, 2023",6.67,12,6.44,60.02,01-Apr-21
FLUNIL SYP 60ML,91,1,"June, 2022",9.1,12,8.78,81.9,01-Apr-21
ENZAR FORTE TAB 15 SF,123.3,1,"January, 2021",12.33,12,11.88,110.97,02-Apr-21
PROLOMET XL 50 TAB 10 S,64.36,2,"September, 2022",12.87,12,12.42,115.85,02-Apr-21
PROLET 25MG TAB,65.22,3,"June, 2022",19.57,12,18.86,176.09,02-Apr-21
GLYNAMIC MV1 TAB 10 S,95,6,"September, 2022",57,12,54.96,513,02-Apr-21
TELELAK AM TAB 10 S,105,3,"June, 2022",31.5,12,30.38,283.5,02-Apr-21
DELETUS-D SYP 100ML,106.26,1,"April, 2022",10.63,12,10.24,95.63,02-Apr-21
TREMNIL-2 TAB 10 S,13.1,6,"June, 2023",7.86,12,7.58,70.74,02-Apr-21
NEXITO-PLUS TAB 10 S,95,1,"October, 2022",9.5,12,9.16,85.5,02-Apr-21
SYNDOPA PLUS TAB,37.8,4,"July, 2024",15.12,12,14.58,136.08,02-Apr-21
ROTIN 5MG TAB 10 S,79,1,"February, 2022",7.9,12,7.62,71.1,02-Apr-21
TRIGLIMILIFE-1 TAB,179,1,"April, 2022",17.9,12,17.26,161.1,02-Apr-21
TRIGLIMILIFE-2 TAB,223,1,"January, 2022",22.3,12,21.5,200.7,02-Apr-21
TELELAK-40MG TAB 10 S,72,1,"July, 2021",7.2,12,6.94,64.8,02-Apr-21
ENZOMAC TAB,307.5,0.4,"October, 2022",12.3,12,11.86,110.7,02-Apr-21
DEPAXIL-CR 12.5 10TAB,166,1,"March, 2022",16.6,12,16,149.4,02-Apr-21
LASILACTONE 50MG 10 S,48.73,1,"October, 2023",4.87,12,4.7,43.86,02-Apr-21
PANTODAC DSR CAP 15 S,238.35,0.667,"October, 2022",15.89,12,15.32,143.01,02-Apr-21
DISPOVAN SYRINGE 2ML,4.5,2,"February, 2025",0,0,0,9,02-Apr-21
RISDONE PLUS 10TAB,65,6,"September, 2023",39,12,37.6,351,02-Apr-21
CALPOL 650 TAB 15 S,30.74,1,"July, 2023",3.07,12,2.96,27.67,02-Apr-21
RAZEL F5 TAB,243.5,1,"October, 2022",24.35,12,23.48,219.15,02-Apr-21
TAZLOC 80MG TAB 10 S,112.22,2,"October, 2022",22.44,12,21.64,202,02-Apr-21
CILACAR C 6.25MG,102.68,2,"July, 2022",20.54,12,19.8,184.82,02-Apr-21
UNIENZYME TAB 15 S,58.45,2,"October, 2021",11.69,12,11.28,105.21,02-Apr-21
DECDAN 0.5MG TAB 10 S,2.11,12,"February, 2022",2.53,12,2.44,22.79,02-Apr-21
